,cum_hl
2023-11-01,-0.0035006102984127627
2023-11-02,-0.007586290201658066
2023-11-03,0.010745099127956638
2023-11-06,0.030436923126488886
2023-11-07,0.02425343822452894
2023-11-08,0.03141055793064125
2023-11-09,0.04330733136332475
2023-11-10,0.0372768932154554
2023-11-13,0.039866021154002715
2023-11-14,0.044616820646856716
2023-11-15,0.05159427162670131
2023-11-16,0.03986680215610505
2023-11-17,0.041092011104365
2023-11-20,0.042069556456333215
2023-11-21,0.04546579443317911
2023-11-22,0.03720581902130214
2023-11-23,0.03541782485168679
2023-11-24,0.026791878239130193
2023-11-27,0.020506397621015617
2023-11-28,0.021488303946624914
2023-11-29,0.01711456476245383
2023-11-30,0.01582316436098561
2023-12-01,0.023634491434111986
2023-12-04,0.013850813489854532
2023-12-05,0.005447785875673279
2023-12-06,0.007089178279718356
2023-12-07,0.010087445197012945
2023-12-08,0.02477504969645762
2023-12-11,0.019595524623841103
2023-12-12,0.013249398964108493
2023-12-13,0.00035977541840996087
2023-12-14,-0.000905812352197932
2023-12-15,0.0022731990071054174
2023-12-18,-0.009069754936480283
2023-12-19,-0.005161954911092446
2023-12-20,-0.014011063894442028
2023-12-21,-0.0028583451934040965
2023-12-22,0.0035902270943442517
2023-12-25,0.001533785802270537
2023-12-26,-0.0032850373720214134
2023-12-27,-0.00968803688589271
2023-12-28,0.031225412312470772
2023-12-29,0.025311297530496525
2024-01-02,0.005341050731212601
2024-01-03,0.002635743669852468
2024-01-04,-0.009394686219187631
2024-01-05,-0.016120814047037656
2024-01-08,-0.0241350218104224
2024-01-09,-0.026673423302944747
2024-01-10,-0.022036524488605748
2024-01-11,-0.0021392028653642453
2024-01-12,-0.00832716611877424
2024-01-15,-0.019353465930660202
2024-01-16,-0.019800068675089842
2024-01-17,-0.035020228950210744
2024-01-18,-0.017889553101886262
2024-01-19,-0.020575457763330144
2024-01-22,-0.027644410400871722
2024-01-23,-0.014285118723071054
2024-01-24,-0.03145108744781551
2024-01-25,-0.02395231356909358
2024-01-26,-0.04689403194489314
2024-01-29,-0.06752297860738254
2024-01-30,-0.07725853005791743
2024-01-31,-0.10666438930988051
2024-02-01,-0.0971581969382554
2024-02-02,-0.13051134773466627
2024-02-05,-0.19804670287127163
2024-02-06,-0.18469728740730415
2024-02-07,-0.22841278656152375
2024-02-08,-0.12581260895465377
2024-02-19,-0.08772386302434768
2024-02-20,-0.07970750947794218
2024-02-21,-0.0537795986624016
2024-02-22,-0.03188799863046706
2024-02-23,0.0028631854412666524
2024-02-26,0.02406115166096726
2024-02-27,0.046652804767952014
2024-02-28,0.00014618912712759113
2024-02-29,0.023035896396681875
2024-03-01,0.040217984224861475
2024-03-04,0.029649239814507233
2024-03-05,0.007770757211624499
2024-03-06,0.01590555266363396
2024-03-07,0.00390613447934067
2024-03-08,0.0035713291414580586
2024-03-11,0.03075037316304144
2024-03-12,0.06118646613958185
2024-03-13,0.0649754629970741
2024-03-14,0.05432266774993321
2024-03-15,0.05506497686634759
2024-03-18,0.06850997456983622
2024-03-19,0.07680834298869209
2024-03-20,0.08975334885030568
2024-03-21,0.08333149199066481
2024-03-22,0.07261117413831014
2024-03-25,0.048470653309975256
2024-03-26,0.0463269896884942
2024-03-27,0.017110571555716422
2024-03-28,0.030365906246965713
2024-03-29,0.020542059942834798
2024-04-01,0.04222314682864603
2024-04-02,0.035522202588483494
2024-04-03,0.0163379853011874
2024-04-08,-0.015335042863033867
2024-04-09,0.01291868396852833
2024-04-10,-0.012183073888624215
2024-04-11,-0.01981013891237463
2024-04-12,-0.036230944287976005
2024-04-15,-0.07916368260988423
2024-04-16,-0.13023205762757378
2024-04-17,-0.07632630650978933
2024-04-18,-0.08275829936945478
2024-04-19,-0.10379577351986916
2024-04-22,-0.09027201461021953
2024-04-23,-0.05559092257276445
2024-04-24,-0.04211086961604674
2024-04-25,-0.03701212130492966
2024-04-26,-0.019545713723230516
2024-04-29,0.018908503377124478
2024-04-30,0.005526189348295647
2024-05-06,0.008219026089410858
2024-05-07,0.021688375175086656
2024-05-08,0.009902765037154633
2024-05-09,0.02067864036748196
2024-05-10,0.00017016309372096597
2024-05-13,-0.032138873286534614
2024-05-14,-0.02367086339672639
2024-05-15,-0.022608600166901
2024-05-16,-0.008223096184931961
2024-05-17,0.005609684513632897
2024-05-20,-0.00214105473019912
2024-05-21,-0.008040375310052077
2024-05-22,0.016559534913740806
2024-05-23,0.011816506959108686
2024-05-24,-0.0036004421070597054
2024-05-27,-0.010084180432162368
