scheme,IC,ICIR,gross_Sharpe,annu_TO_1way,net_Sharpe,feasible
C2_D1_0.60,0.0548358037780081,5.732531632016892,1.9830068652326744,66.22355328286488,0.6724075983977743,True
C2_D1_0.70,0.0568562247931375,5.729297827861059,1.9205159095121576,56.462951635647386,0.8396565071299419,True
C2_D1_0.80,0.0578821289028485,5.696903570004963,1.8164470847699252,49.12940470972535,0.8954944227948016,True
C2_D1_0.50,0.0510428550356061,5.674115602670617,2.0962820062272565,79.70570650817697,0.427152500459418,True
C6_D1_0.80_state_mod,0.0572488717551591,5.634795200630257,1.7805811328598873,49.645007680952055,0.849771279737509,True
REF_base3_plus_cancel_additive_0.2,0.0413022601138324,6.047441321733659,4.390530541385523,150.59987911869413,0.4035618106009685,False
C2_D1_0.40,0.0442423238990556,5.474086645826546,2.2836144023270557,100.22989350731127,-0.0395710500959858,False
C1_base3_equal_weight,0.0372185489028605,5.134159431194448,2.370190934891865,119.1674424086296,-0.6689157287939501,False
C2_D1_0.33,0.0372185489028605,5.134159431194448,2.370190934891865,119.1674424086296,-0.6689157287939501,False
C3_freq_2d,0.0338817961842505,4.760479934918437,2.001358420596958,92.03153297886873,-0.5200686010625624,False
C3_freq_3d,0.0328484792526289,4.701600877747643,1.9262555541218904,77.66287522410677,-0.2328993281279823,False
C5_state_modifier_eq,0.033644123807799,4.632175803857353,2.0500573228878936,119.8308219997625,-1.0207608148399243,False
C3_freq_5d,0.0294328407214632,4.223252052981733,1.3100101642563065,57.42809964154031,-0.3179666903902667,False
C4_soft_hold_0.6,0.0063608380407046,2.242008120979619,0.0394955107225762,9.14609931358896,-0.6197838301291391,False
C4_soft_hold_0.8,0.0063608380407046,2.242008120979619,0.0394955107225762,9.14609931358896,-0.6197838301291391,False
C4_soft_hold_1.0,0.0063608380407046,2.242008120979619,0.0394955107225762,9.14609931358896,-0.6197838301291391,False
