TRADE_DT,rank_ic
2015-01-05,
2015-01-06,-0.10063897808425665
2015-01-07,-0.15301619974534927
2015-01-08,0.048740426836595
2015-01-09,-0.18531037649490098
2015-01-12,0.005965021271515324
2015-01-13,0.3030373534271644
2015-01-14,-0.09370712033137202
2015-01-15,-0.3075835496686259
2015-01-16,0.19056745072481196
2015-01-19,0.012689759527669348
2015-01-20,0.3964803732845918
2015-01-21,0.03690167461007103
2015-01-22,0.09871782502566878
2015-01-23,-0.2569665295185451
2015-01-26,0.09677997680388571
2015-01-27,-0.035440112724245326
2015-01-28,-0.24922396720320888
2015-01-29,-0.05550038680855488
2015-01-30,-0.19080689577119014
2015-02-02,-0.03586465368204558
2015-02-03,0.020145553218390424
2015-02-04,-0.04996241989757868
2015-02-05,-0.05546864374104951
2015-02-06,-0.1770383968335319
2015-02-09,-0.15416428935271256
2015-02-10,0.1864853548549746
2015-02-11,0.019163772608713815
2015-02-12,-0.04084907027441775
2015-02-13,-0.010178202478949348
2015-02-16,0.1757331371398231
2015-02-17,-0.0527369303779159
2015-02-25,-0.13454629060992934
2015-02-26,-0.11813239739072537
2015-02-27,0.08040810624160337
2015-03-02,0.1468562876722971
2015-03-03,-0.09421200037234843
2015-03-04,-0.0012896167547294492
2015-03-05,-0.024106105864245452
2015-03-06,-0.2958361307195437
2015-03-09,0.12613767818436186
2015-03-10,0.09816023267069209
2015-03-11,-0.0456830635486797
2015-03-12,-0.22862642332572017
2015-03-13,0.07707406176035071
2015-03-16,0.25072838456476765
2015-03-17,-0.05010930765914479
2015-03-18,0.07879387958709136
2015-03-19,-0.054875841665353586
2015-03-20,0.09349610912116803
2015-03-23,0.24755005923644316
2015-03-24,0.11690960175243664
2015-03-25,0.013219458083033358
2015-03-26,-0.34438103661199787
2015-03-27,0.002477133485454007
2015-03-30,-0.09963612968458525
2015-03-31,-0.01928062979135324
2015-04-01,0.17586113839035
2015-04-02,0.11635905837341777
2015-04-03,0.10483245666412659
2015-04-07,0.06588548999681894
2015-04-08,-0.09058968293528775
2015-04-09,-0.03470019406092607
2015-04-10,0.15230137307848757
2015-04-13,0.10216566756192169
2015-04-14,-0.11356643123852975
2015-04-15,-0.19813010811337442
2015-04-16,0.08724113585950576
2015-04-17,-0.12957369295033808
2015-04-20,-0.14364152805537655
2015-04-21,0.07849156249703725
2015-04-22,0.19462077462748617
2015-04-23,0.024109181227242284
2015-04-24,-0.005253871453388695
2015-04-27,-0.12073658794797651
2015-04-28,-0.22190106148829994
2015-04-29,0.16245889274305653
2015-04-30,-0.057651729743089866
2015-05-04,-0.07105803927320224
2015-05-05,-0.16979003665720177
2015-05-06,0.0016268374784061568
2015-05-07,-0.10364941183401007
2015-05-08,0.34558776900204335
2015-05-11,0.4151942524619615
2015-05-12,0.20158280937397036
2015-05-13,0.008640027152586901
2015-05-14,0.03831099185391269
2015-05-15,0.0048297368456665084
2015-05-18,0.21693255820785387
2015-05-19,0.02442472803203859
2015-05-20,0.08435286109672892
2015-05-21,0.2326976765719325
2015-05-22,-0.1309686673735858
2015-05-25,0.021891122901999835
2015-05-26,0.20640123309842864
2015-05-27,0.059793898167274206
2015-05-28,-0.20590532806239523
2015-05-29,0.06378648003005256
2015-06-01,0.22691859174941234
2015-06-02,0.2622409253656345
2015-06-03,-0.027448885701620143
2015-06-04,0.030462546278319996
2015-06-05,0.004748019228185174
2015-06-08,-0.16110076992939137
2015-06-09,-0.05009514809633895
2015-06-10,-0.0008603294686598401
2015-06-11,0.0489952353529583
2015-06-12,0.026006812796769977
2015-06-15,-0.1364656324395664
2015-06-16,-0.14548195489253957
2015-06-17,0.18209440504045254
2015-06-18,-0.2045937593148856
2015-06-19,-0.2534851743724606
2015-06-23,0.06707867249451072
2015-06-24,0.2021924151694241
2015-06-25,-0.18335677960402086
2015-06-26,-0.27649185931887843
2015-06-29,-0.16847287321693527
2015-06-30,0.32556863743131254
2015-07-01,-0.07471595749356401
2015-07-02,-0.08124807279593979
2015-07-03,-0.13003868359508075
2015-07-06,0.017644227441899713
2015-07-07,-0.2882064053349285
2015-07-08,0.13134276517969137
2015-07-09,-0.10526708478685197
2015-07-10,0.7766429513862831
2015-07-13,0.6329174075213524
2015-07-14,0.38954523604129343
2015-07-15,-0.3046273796536483
2015-07-16,0.3609994615362817
2015-07-17,0.677421168922414
2015-07-20,0.48625922432331264
2015-07-21,0.3505728753405323
2015-07-22,0.20658611943473879
2015-07-23,0.46068743319161587
2015-07-24,-0.14381035720202057
2015-07-27,-0.34715947464093105
2015-07-28,-0.37077569756207623
2015-07-29,0.496238505744989
2015-07-30,-0.11266726537729878
2015-07-31,-0.157543801053634
2015-08-03,-0.346074128805689
2015-08-04,0.5283793577289853
2015-08-05,0.11674936038734825
2015-08-06,0.06317079489159025
2015-08-07,0.6322657113038113
2015-08-10,0.5703638946286825
2015-08-11,0.09654592034003594
2015-08-12,-0.1604694271157688
2015-08-13,0.46738994334116374
2015-08-14,-0.036729217064679874
2015-08-17,0.12970603628748253
2015-08-18,-0.4554992384456781
2015-08-19,0.3851058659531505
2015-08-20,-0.3119373040848382
2015-08-21,-0.4772787824055247
2015-08-24,-0.3703115589328068
2015-08-25,-0.3733906102955564
2015-08-26,-0.23739235695494307
2015-08-27,0.008704458692506299
2015-08-28,0.31944225429722295
