factor,year,n,rank_ic,icir
FlowDensity20,2022,223,0.0205838518435131,4.534383033992269
FlowDensity20,2023,242,0.0231395764191336,4.805535257114906
FlowDensity20,2024,242,0.0234287694891849,4.206580842421351
FlowDensity20,2025,243,0.0268421826065413,6.048244204949314
