horizon_days,rank_ic,abs_rank_ic
1,-0.02937445665871825,0.02937445665871825
5,-0.0469558029656141,0.0469558029656141
10,-0.05482682302254084,0.05482682302254084
20,-0.06376682605645065,0.06376682605645065
