Date,1,2,3,4,5,6,7,8,9,10,H-L
2018-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2018-01-31,0.43292682926829273,0.9329268292682928,1.0365853658536586,1.0853658536585367,1.0853658536585367,1.0,0.9695121951219512,0.8170731707317074,0.6341463414634148,0.2378048780487805,0.6707317073170732
2018-02-01,0.7355623100303952,1.225609756097561,1.3658536585365857,1.4573170731707317,1.4512195121951221,1.4939024390243905,1.3353658536585367,1.0914634146341466,0.9390243902439025,0.419452887537994,1.155015197568389
2018-02-02,0.8389057750759876,1.5670731707317076,1.574468085106383,1.548780487804878,1.5987841945288754,1.6036585365853662,1.4451219512195124,1.4650455927051673,1.103658536585366,0.40121580547112456,1.2401215805471122
2018-02-05,0.5957446808510637,1.176829268292683,1.264437689969605,1.4164133738601823,1.3738601823708207,1.274390243902439,1.1793313069908815,1.082066869300912,0.8719512195121952,0.3768996960486322,0.972644376899696
2018-02-06,0.5227963525835867,1.0365853658536586,1.1951219512195124,1.1854103343465046,1.1646341463414636,1.2195121951219514,1.1063829787234043,0.9573170731707317,0.6341463414634148,0.23708206686930094,0.7598784194528876
2018-02-07,0.5531914893617023,1.1707317073170733,1.3841463414634148,1.4329268292682928,1.481707317073171,1.4390243902439024,1.4634146341463417,1.1707317073170733,0.853658536585366,0.29268292682926833,0.8458744161909706
2018-02-08,0.541033434650456,1.1219512195121952,1.2621951219512195,1.3109756097560976,1.337386018237082,1.2560975609756098,1.1097560975609757,1.0365853658536586,0.8170731707317075,0.35258358662613987,0.8936170212765958
2018-02-09,0.6261398176291794,1.280487804878049,1.3841463414634148,1.4146341463414636,1.525835866261398,1.4024390243902438,1.25,1.0121951219512195,0.7560975609756098,0.27355623100303955,0.899696048632219
2018-02-12,0.49390243902439024,1.128048780487805,1.25609756097561,1.402439024390244,1.378048780487805,1.3719512195121952,1.3353658536585367,1.2621951219512195,0.8963414634146342,0.3536585365853659,0.8475609756097562
2018-02-13,0.40853658536585363,0.9573170731707317,1.079268292682927,1.2195121951219514,1.1768292682926829,1.225609756097561,1.0975609756097562,0.9085365853658538,0.6829268292682927,0.25609756097560976,0.6646341463414633
2018-02-14,0.3780487804878049,0.8109756097560976,0.9939024390243902,1.1707317073170733,1.1463414634146343,1.1890243902439024,1.0548780487804879,0.9390243902439025,0.7134146341463414,0.29268292682926833,0.6707317073170732
2018-02-22,0.3780487804878049,0.7073170731707318,0.9908256880733944,1.1158536585365855,1.1158536585365852,1.1559633027522935,1.1158536585365852,1.0397553516819573,0.7682926829268293,0.29268292682926833,0.6707317073170732
2018-02-23,0.25609756097560976,0.4892966360856269,0.6238532110091743,0.6483180428134557,0.7195121951219512,0.8195718654434251,0.8623853211009174,0.8012232415902141,0.6666666666666667,0.29878048780487804,0.5548780487804879
2018-02-26,0.25688073394495403,0.45398773006134974,0.5582822085889572,0.6503067484662577,0.6134969325153374,0.638036809815951,0.7361963190184049,0.6932515337423313,0.6134969325153374,0.30581039755351674,0.5626911314984708
2018-02-27,0.30246913580246915,0.6749226006191951,0.8978328173374613,0.9535603715170278,1.0154798761609907,1.0712074303405572,0.9102167182662537,0.780185758513932,0.5634674922600619,0.22222222222222224,0.5246913580246914
2018-02-28,0.2990654205607476,0.6666666666666667,0.8375,0.9781931464174454,1.046728971962617,0.9500000000000002,0.8598130841121493,0.7625,0.6604361370716512,0.28037383177570085,0.5794392523364484
