Date,ret
2018-01-02,-0.0
2018-01-03,-0.0
2018-01-04,-0.0
2018-01-05,-0.0
2018-01-08,-0.0
2018-01-09,-0.0
2018-01-10,-0.0
2018-01-11,-0.0
2018-01-12,-0.0
2018-01-15,-0.0
2018-01-16,-0.0
2018-01-17,-0.0
2018-01-18,-0.0
2018-01-19,-0.0
2018-01-22,-0.0
2018-01-23,-0.0
2018-01-24,-0.0
2018-01-25,-0.0
2018-01-26,-0.0
2018-01-29,-0.0
2018-01-30,0.002233589644572303
2018-01-31,0.0028123346073390953
2018-02-01,-0.002792068321485028
2018-02-02,-0.0032874423863937085
2018-02-05,0.0032813448639646362
2018-02-06,0.005357240321428862
2018-02-07,0.00973322787910541
2018-02-08,0.016355347200531983
2018-02-09,0.02516372728893719
2018-02-12,0.0030545770414693862
2018-02-13,-0.0006522977129799924
2018-02-14,0.0015447943723088113
2018-02-22,-0.011468769013563154
2018-02-23,-0.008489551630516005
2018-02-26,-0.00430101213532192
2018-02-27,0.006376598712889347
2018-02-28,0.0062008493748494
2018-03-01,0.0026092971243272863
2018-03-02,0.004828229450119582
2018-03-05,-0.0014220933492155568
2018-03-06,-0.001055266606851393
2018-03-07,0.0017266729535814563
2018-03-08,0.0018056327018246086
2018-03-09,0.013497022369928642
2018-03-12,0.0015608901968243681
2018-03-13,0.0004622839563313058
2018-03-14,0.004269621686367853
2018-03-15,0.00544393023653989
2018-03-16,-0.006784578401774937
2018-03-19,-0.000898250304082077
2018-03-20,0.004472636085576265
2018-03-21,0.002423981228703036
2018-03-22,-0.004089706309468222
2018-03-23,0.011382538977145237
2018-03-26,0.009347806317667247
2018-03-27,0.0020998439557003735
2018-03-28,0.018592733436486944
2018-03-29,0.011400995716450434
2018-03-30,0.0035194159527929276
2018-04-02,-0.0029810672842843075
2018-04-03,0.009133280718950618
2018-04-04,0.002621076893442418
2018-04-09,0.00532136295502225
2018-04-10,0.01163444629569262
2018-04-11,0.004856640872903744
2018-04-12,0.00799048896059323
2018-04-13,0.01236716652897115
2018-04-16,-0.004142502646314479
2018-04-17,0.0011614985719999651
2018-04-18,0.0070448181875639
2018-04-19,0.004045433589100622
2018-04-20,0.0030901818455820497
2018-04-23,0.005094458928312926
2018-04-24,0.0038680582579658437
2018-04-25,0.0032159833135281864
2018-04-26,0.0047912481508136755
2018-04-27,0.00881819674926446
2018-05-02,0.008080456530845886
2018-05-03,-0.0014330419902778505
2018-05-04,0.0043595263631313955
2018-05-07,-0.0021431634156838034
2018-05-08,-0.005690729727433416
2018-05-09,0.00298648623440354
2018-05-10,0.0003835725869125693
2018-05-11,1.953484291620372e-05
2018-05-14,0.009833405997765042
2018-05-15,0.002300207685822382
2018-05-16,0.0012991590077524378
2018-05-17,0.000910823230106975
2018-05-18,0.001956845629149362
2018-05-21,-0.0030161534070355014
2018-05-22,0.003517876927373401
2018-05-23,0.0026471568851633917
2018-05-24,-0.004116942604250168
2018-05-25,0.0001673259600042474
2018-05-28,0.005241977164164673
2018-05-29,0.009362872859244122
2018-05-30,0.006471032024675458
2018-05-31,-0.01474987571015666
2018-06-01,0.008780287577570076
2018-06-04,-0.001889610991548201
2018-06-05,-0.005360562682781806
2018-06-06,-0.0002513087915654508
2018-06-07,0.0045887140824477715
2018-06-08,-0.0004111796759460624
2018-06-11,-0.0029364387507142577
2018-06-12,-0.0015424397533622203
2018-06-13,0.0017001573915442422
2018-06-14,-0.0013672360425280765
2018-06-15,0.00647542042745345
2018-06-19,-0.0032573621493617866
2018-06-20,-0.013168901165913441
2018-06-21,-0.001673010853168299
2018-06-22,0.004945110837367157
2018-06-25,-0.003921306403505676
2018-06-26,0.003117494225934176
2018-06-27,0.002247815834062177
2018-06-28,0.007492383995678101
2018-06-29,0.0028768601693505425
2018-07-02,-0.0037588642041703323
2018-07-03,0.005411367582347415
2018-07-04,0.0007627624262684027
2018-07-05,0.004199049272444626
2018-07-06,0.004082158693602777
2018-07-09,0.0032133454058847835
2018-07-10,0.0008687524179869753
2018-07-11,0.0026792041954508197
2018-07-12,0.0067394561713379
2018-07-13,0.0013084385192286979
2018-07-16,0.0013482494148951674
2018-07-17,0.0006800094871970011
2018-07-18,0.0014470797614394267
2018-07-19,0.00221866524132794
2018-07-20,0.00648037086300189
2018-07-23,0.0007424302179144396
2018-07-24,0.0021850970707687593
2018-07-25,0.002707094995875751
2018-07-26,-0.006391390040764571
2018-07-27,0.005048228539125132
2018-07-30,0.007460699550839878
2018-07-31,0.007708132727457271
2018-08-01,-0.0031257337776545765
2018-08-02,-0.006665492087398358
2018-08-03,0.0043005580898104485
2018-08-06,-0.008257835726439903
2018-08-07,-0.003427726893242916
2018-08-08,-0.007600514708251807
2018-08-09,0.014571858354871549
2018-08-10,0.014177760453589667
2018-08-13,0.014494496219186692
2018-08-14,-0.008996075471410559
2018-08-15,-0.009988415379282264
2018-08-16,0.006024601013100638
2018-08-17,0.0002779413659778143
2018-08-20,0.006487938823366772
2018-08-21,0.005445989104582535
2018-08-22,0.0023009507307602053
2018-08-23,0.0049005125420160354
2018-08-24,0.0013582045261138257
2018-08-27,0.006269746742645153
2018-08-28,-0.000222965244702653
2018-08-29,0.001119633710839959
2018-08-30,0.0005467015855162571
2018-08-31,0.0043681418864082635
2018-09-03,0.002960854972658058
2018-09-04,-0.0007720926744799721
2018-09-05,-0.0016495622406453476
2018-09-06,-0.0037878274696859565
2018-09-07,0.0012117611150076423
2018-09-10,-0.0013771015714363587
2018-09-11,0.0010982554836658064
2018-09-12,0.0014302701633511733
2018-09-13,-0.0033728611514725034
2018-09-14,0.004238373866491632
2018-09-17,-0.006972987278348908
2018-09-18,0.0003457657417986204
2018-09-19,0.005240031567415647
2018-09-20,-0.00040058785834204977
2018-09-21,0.014597072350930081
2018-09-25,0.0019427463158939963
2018-09-26,0.0030077142413456976
2018-09-27,0.011620019691551818
2018-09-28,0.0041814125190183064
2018-10-08,-0.003137977916945263
2018-10-09,-0.005706588078293657
2018-10-10,-0.0007547243913674727
2018-10-11,-0.0012283281759124381
2018-10-12,-0.006756696669573677
2018-10-15,0.002983541020471424
2018-10-16,-0.0002867368843943452
2018-10-17,0.013720805034056378
2018-10-18,0.016878289067933858
2018-10-19,0.013106740151114472
2018-10-22,0.0036451496459715335
2018-10-23,-0.006834666067045582
2018-10-24,-0.0018581107598927096
2018-10-25,-0.004245305187473515
2018-10-26,0.0047390645328726205
2018-10-29,-7.355049937846081e-07
2018-10-30,-0.0013185139906314192
2018-10-31,0.009206607372565616
2018-11-01,0.003419114049533126
2018-11-02,0.0031248097399091887
2018-11-05,-0.007993716530274692
2018-11-06,0.00948312715127458
2018-11-07,0.003998247287905528
2018-11-08,-0.00032014108943256023
2018-11-09,0.002541703761325671
2018-11-12,0.0021149487126995957
2018-11-13,-0.0019109861854601645
2018-11-14,-0.0038809032678694434
2018-11-15,8.78632547700181e-05
2018-11-16,-0.009002199319296994
2018-11-19,0.007514306045479715
2018-11-20,0.006769450021346754
2018-11-21,-0.0008023937254582293
2018-11-22,0.008127837431843983
2018-11-23,0.012841944523247571
2018-11-26,-0.0016069804491736115
2018-11-27,0.0011372342474462605
2018-11-28,0.015260938627382543
2018-11-29,0.008721771487865876
2018-11-30,0.013514391819046808
2018-12-03,0.0031558120518597327
2018-12-04,-0.001890987759736602
2018-12-05,0.008410681102961549
2018-12-06,0.0007914230534831757
2018-12-07,0.0015408983242325125
2018-12-10,-0.001318996053144358
2018-12-11,-0.004154885809286187
2018-12-12,-0.0012303096065652333
2018-12-13,0.006881913832545191
2018-12-14,0.005414528929878683
2018-12-17,-0.014122489045623483
2018-12-18,0.0017663265309643917
2018-12-19,-0.0016953727740715713
2018-12-20,-0.004190814471707251
2018-12-21,0.004352724266796983
2018-12-24,0.0029344335968180483
2018-12-25,0.0038807005694481873
2018-12-26,-0.00039577178307655483
