factor,mode,rank_ic,icir,gross_hl_sharpe,turnover_ann_proxy,mean_names,residual_ic_mean,residual_icir,residual_ic_t,best_lambda,stack_icir_uplift,verdict
analyst_np_revision_20d,decay,0.0021946172040341046,0.47245482375110925,0.31974016042551145,57.877558158537674,1548.4940476190477,0.003579438227732481,0.7894239798253262,1.11864469855531,0.0,0.0,drop
analyst_np_revision_20d,hold,-0.0003838134427134184,-0.08999703365673045,0.204301317179379,38.08873504239792,1548.4940476190477,-0.0011126008968568258,-0.2541506606302563,-0.36014144035917584,0.0,0.0,drop
profit_notice_mid_surprise,decay,0.0014154828128282607,0.22581047266598275,2.955493577128123,59.889193778650466,378.4325396825397,0.0007968964965155837,0.11511822689761259,0.11488775974573624,0.0,0.0,drop
profit_notice_mid_surprise,hold,0.00020499870207697868,0.03214919761770738,2.3397155917703296,57.323502365918294,378.4325396825397,0.0015243498569835654,0.23810568622931927,0.23762899769067766,0.0,0.0,drop
sue_eps_consensus,decay,0.01757215122503494,3.705823046439232,3.8181849437864233,70.51224082941842,296.42063492063494,0.009847035618139455,2.0408476113559697,1.7603419769312894,0.0,0.0,raw_signal_only
sue_eps_consensus,hold,0.01625604223089588,3.214031903317022,3.280815694298313,55.235529438970545,296.42063492063494,0.008925567856629795,1.736496370328134,1.4978224912375668,0.0,0.0,raw_signal_only
sue_np_yoy_z,decay,0.0034297129878587936,0.69000392251429,0.6602694416050401,63.69621561840563,1821.1309523809523,-0.0003774539142956641,-0.08671406614411825,-0.10802776968338554,0.0,0.0,raw_signal_only
sue_np_yoy_z,hold,0.002692927275074238,0.5362390415226829,0.10720465751981734,48.12625230181651,1821.1309523809523,0.0012021713278653433,0.2541007252616729,0.3165568845465925,0.0,0.0,raw_signal_only
unexpected_profit_notice_surprise_20d,decay,0.0071479908390615216,1.0794645682495048,1.960389130423678,64.26061228327652,390.0952380952381,0.000858034318406649,0.1437935778081563,0.14465376640480793,0.0,0.0,raw_signal_only
unexpected_profit_notice_surprise_20d,hold,0.0032336395521224974,0.4920027956193331,1.1476250741342198,57.48614913149077,390.0952380952381,-0.0010466674499297454,-0.16882250961684533,-0.16983242396659654,0.0,0.0,drop
