,1,2,3,4,5,6,7,8,9,10,H-L
2023-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2023-01-05,0.7333333333333334,1.4,1.8,1.5333333333333334,1.6666666666666667,1.7241379310344827,1.4666666666666668,1.5333333333333332,1.5333333333333334,0.8666666666666668,1.6
2023-01-06,0.9333333333333333,1.6666666666666667,1.6,1.6,1.8,1.5862068965517242,1.4666666666666666,1.7333333333333334,1.8000000000000003,1.1333333333333333,2.0666666666666664
2023-01-09,0.8,1.6666666666666665,1.6,1.7333333333333334,1.8,1.6551724137931034,1.5333333333333332,1.6,1.5333333333333332,0.7333333333333334,1.5333333333333334
2023-01-10,0.8666666666666667,1.4000000000000001,1.7333333333333334,1.3333333333333335,1.666666666666667,1.5862068965517242,1.6666666666666667,1.4666666666666666,1.7333333333333334,0.8666666666666667,1.7333333333333334
2023-01-11,1.0,1.5333333333333334,1.6666666666666667,1.6,1.7333333333333334,1.7333333333333334,1.6666666666666667,1.3333333333333335,1.4666666666666668,1.0,2.0
2023-01-12,0.6666666666666667,1.5333333333333334,1.8666666666666667,1.7333333333333334,1.7333333333333334,1.7333333333333334,1.7333333333333334,1.6,1.5333333333333337,0.8666666666666667,1.5333333333333334
2023-01-13,0.8,1.6666666666666667,1.6,1.7333333333333334,1.7333333333333334,1.8,1.6,1.7333333333333334,1.2,1.0666666666666669,1.866666666666667
2023-01-16,1.0666666666666667,1.6666666666666667,1.6666666666666667,1.4666666666666668,1.8,1.8,1.7333333333333334,1.6,1.6666666666666667,1.0,2.0666666666666664
2023-01-17,0.8666666666666667,1.4,1.4666666666666668,1.9333333333333336,1.8666666666666667,1.7241379310344827,1.7333333333333334,1.5333333333333332,1.6,1.1333333333333335,2.0
2023-01-18,0.6666666666666667,1.4666666666666668,1.6,1.8,1.6666666666666665,1.9333333333333333,1.8,1.8,1.5999999999999999,1.2666666666666668,1.9333333333333336
2023-01-19,0.8666666666666667,1.5333333333333332,1.5333333333333332,1.6666666666666667,1.7333333333333334,1.7333333333333336,1.7333333333333334,1.7333333333333334,1.6666666666666665,1.1333333333333333,2.0
2023-01-20,1.0,1.6,1.7333333333333334,1.6,1.5333333333333334,1.8,1.8000000000000003,1.6,1.5333333333333337,1.1333333333333333,2.1333333333333333
2023-01-30,0.5333333333333334,1.4666666666666668,1.6666666666666667,1.6666666666666667,1.6,1.6666666666666665,1.3333333333333335,1.5333333333333334,1.4666666666666668,0.9333333333333333,1.4666666666666668
2023-01-31,0.8,1.6,1.7333333333333334,1.7333333333333334,1.7333333333333334,1.6551724137931036,1.6,1.6666666666666665,1.4666666666666668,1.0666666666666669,1.866666666666667
2023-02-01,0.9333333333333333,1.6666666666666665,1.6666666666666665,1.7333333333333334,1.6,1.4482758620689655,1.7333333333333334,1.6666666666666665,1.4000000000000001,1.2666666666666666,2.2
