,value
count,1805656.0
mean,0.2552745409368625
std,0.08349819550159664
min,0.0
1%,0.075144481249174
5%,0.11802893221318757
25%,0.1984707257778726
50%,0.25826530623390676
75%,0.3114217303983482
95%,0.37787714247251714
99%,0.43983611088111135
max,0.9704164549310379
