effective_decile,annualized_csi1000_index_excess_return,full_sample_monotonicity_spearman,g10_minus_g1_annualized_return
G1,-0.30072374770649796,0.8787878787878788,0.41123457164869415
G2,-0.15511454028410207,0.8787878787878788,0.41123457164869415
G3,0.03893841344333476,0.8787878787878788,0.41123457164869415
G4,0.08205670373350586,0.8787878787878788,0.41123457164869415
G5,0.0594701495862338,0.8787878787878788,0.41123457164869415
G6,0.1147936984143473,0.8787878787878788,0.41123457164869415
G7,0.10475718559615164,0.8787878787878788,0.41123457164869415
G8,0.10223410691719038,0.8787878787878788,0.41123457164869415
G9,0.12049458352019421,0.8787878787878788,0.41123457164869415
G10,0.11051082394219619,0.8787878787878788,0.41123457164869415
