method,date_start,date_end,n_days,n_names_avg,n_names_min,n_names_max,rank_ic,rank_ic_std,rank_ic_tstat,icir,effective_direction,effective_ic_positive_day_share,effective_hl_mean_positive,hl_annu_ret,hl_sharpe,hl_mdd,hl_turnover,g10_exact_ew_excess_annu_ret,g10_exact_ew_excess_sharpe,g10_exact_ew_excess_mdd,g10_count_avg
raw,2023-01-04,2024-06-28,358,990.1843575418994,857,999,-0.04801260372990662,0.1198624183339956,-7.579031918028353,-6.333477427367184,-1,0.6787709497206704,True,0.4112345716486952,2.7421975321643415,-0.0967738549322657,1.6884131473887498,0.08322420475471445,1.40594406157036,-0.038410120417328594,99.4608938547486
industry,2023-01-04,2024-06-28,358,990.1843575418994,857,999,-0.04617168038415515,0.07658746940652232,-11.406685673064393,-9.532086289223583,-1,0.7458100558659218,True,0.40259019380991035,4.170052528749307,-0.06624436708845696,1.7514268268325222,0.09520603152433396,2.1300803542605813,-0.028673438723216746,99.4608938547486
market_cap,2023-01-04,2024-06-28,358,990.1843575418994,857,999,-0.04524281045272971,0.12295992286272311,-6.961895601534809,-5.817762627324859,-1,0.6480446927374302,True,0.34915705297312416,2.4214678040498976,-0.10046949539534938,1.7058208128824548,0.08154882403609902,1.2720721352335678,-0.037965253024106006,99.4608938547486
industry+market_cap,2023-01-04,2024-06-28,358,990.1843575418994,857,999,-0.04410851467188179,0.07674961734868498,-10.87395991831929,-9.08690983672317,-1,0.729050279329609,True,0.4062360164849068,4.416722363457205,-0.07219552494970548,1.7554049980719377,0.1082226327338442,2.2947159847052205,-0.030272551325164824,99.4608938547486
