variant,n_days,n_names_avg,rank_ic,matched_baseline_rank_ic,abs_ic_retained_vs_matched,icir,abs_icir,sharpe,gross_annu,mdd
Baseline (ind+cap),358,990.1843575418994,-0.04410851467188179,-0.04410851467188179,1.0,-9.08690983672317,9.08690983672317,4.416722363457205,0.4062360164849068,-0.07219552494970548
+momentum,358,990.1843575418994,-0.04068504262767254,-0.04410851467188179,0.9223852340148819,-8.285361864930108,8.285361864930108,4.13345655253838,0.36338580289747685,-0.0639360591410053
+volatility,358,990.1843575418994,-0.027959531118646172,-0.04410851467188179,0.6338805857924243,-6.735152025163472,6.735152025163472,3.575035589641196,0.2676578680026574,-0.04004221146316659
+turnover,332,990.1204819277109,-0.023262888404437302,-0.047592079519753236,0.4887974772100885,-5.235890445988392,5.235890445988392,3.412217918143667,0.2537406976292482,-0.03599382309768451
