,mean,std,count
2023-01,-0.030000331356294756,0.07855670215075998,15
2023-02,-0.08190551521284758,0.09860977908990515,20
2023-03,-0.008949504798499206,0.12188151970778252,23
2023-04,-0.035468532750653405,0.14743943002525323,19
2023-05,-0.018775255861078425,0.12284942831725523,20
2023-06,-0.04266788561223071,0.13258189623164243,20
2023-07,-0.08744359455038533,0.08463031379127264,21
2023-08,-0.06940493176175122,0.11024443211283946,23
2023-09,-0.059914174340678326,0.0992414398041385,20
2023-10,-0.04007657445667944,0.08451162845496235,17
2023-11,-0.06500173671467056,0.14149412505736128,22
2023-12,-0.05286753556844276,0.11507269309837945,21
2024-01,-0.050251652481084125,0.1289940784703677,22
2024-02,0.03098941484368858,0.18665008483016762,15
2024-03,-0.05649719084009887,0.1512178778638182,21
2024-04,-0.09388325651255656,0.10224910331428284,20
2024-05,-0.07190193553924505,0.06982303078979979,20
2024-06,0.00018512133216105604,0.10686604631994079,19
