L_wan,H_wan,combo,rank_ic,icir,hl_annu_ret,hl_sharpe,hl_mdd,hl_turnover,n_names_avg
2.0,10.0,L2w_H10w,-0.04783379982673175,-6.9300455664386345,0.44689863767213284,3.732592407936344,-0.0674337510202671,1.6584378516818807,990.1843575418994
2.0,15.0,L2w_H15w,-0.049766211540441634,-6.815166675583628,0.5003999463339506,3.806555469127349,-0.07466809330998762,1.556522769220472,990.1843575418994
2.0,20.0,L2w_H20w,-0.05124192941640892,-6.836322732998873,0.4904785063300487,3.5306189754765205,-0.0750014215250987,1.5196970864853545,990.1843575418994
2.0,25.0,L2w_H25w,-0.051135425213142016,-6.76154638682344,0.4755991244925611,3.3744921926532014,-0.08318547618777422,1.4955544283257902,990.1843575418994
2.0,30.0,L2w_H30w,-0.05117142804636783,-6.727098653490142,0.45569435449862195,3.141319368159605,-0.07890317276885098,1.4759468474604864,990.1843575418994
3.0,10.0,L3w_H10w,-0.048179200708960056,-6.859206741574719,0.45624498233873106,3.6516971541661336,-0.08581509029039729,1.740571507508881,990.1843575418994
3.0,15.0,L3w_H15w,-0.04996084499650653,-6.695793622643259,0.4640177714174298,3.293920961420139,-0.09179273090023272,1.66769887335018,990.1843575418994
3.0,20.0,L3w_H20w,-0.05041909823105123,-6.679271790548701,0.48428697318328967,3.330937509599656,-0.08950474004874137,1.6105118289555242,990.1843575418994
3.0,25.0,L3w_H25w,-0.050200799378043275,-6.599131697129864,0.4994764844591357,3.3853948790521105,-0.08156015626277881,1.590007721474521,990.1843575418994
3.0,30.0,L3w_H30w,-0.05007695973007599,-6.5528913906085196,0.4645772046815756,3.0880985578893783,-0.09281671850066321,1.5779782246733847,990.1843575418994
4.0,10.0,L4w_H10w,-0.045323216439669016,-6.388592079445426,0.41166114681782096,3.188321208897269,-0.08066087099873465,1.8475593296050903,990.1843575418994
4.0,15.0,L4w_H15w,-0.047033395132140166,-6.292851167216118,0.41996383839100604,2.9433247606280526,-0.08832690094123792,1.7438885993018043,990.1843575418994
4.0,20.0,L4w_H20w,-0.04801260372990662,-6.333477427367184,0.4112345716486952,2.7421975321643415,-0.0967738549322657,1.6884131473887498,990.1843575418994
4.0,25.0,L4w_H25w,-0.047699358446947004,-6.274242664601517,0.41457575089627713,2.7383387625449944,-0.1047619591404324,1.6634689823388074,990.1843575418994
4.0,30.0,L4w_H30w,-0.04743301918589035,-6.229413424466444,0.4029918308575632,2.6493721523300557,-0.10290730510543335,1.6489766471509644,990.1843575418994
5.0,10.0,L5w_H10w,-0.04376627116456497,-6.132310711301371,0.3955445335420237,3.076379243191027,-0.09007698561719304,1.939924085861257,990.1843575418994
5.0,15.0,L5w_H15w,-0.04542507725034418,-6.07261310704181,0.38528771023719666,2.7220249398787852,-0.0953398898980496,1.7895756053609366,990.1843575418994
5.0,20.0,L5w_H20w,-0.04644804021179498,-6.1384015201723034,0.41938182121212736,2.807778432871921,-0.10449779629020074,1.7495412509539818,990.1843575418994
5.0,25.0,L5w_H25w,-0.046257890709051515,-6.083306656792067,0.41167311876170304,2.70592915242659,-0.10194791262414397,1.7239114447474753,990.1843575418994
5.0,30.0,L5w_H30w,-0.045958356593659114,-6.045262470547617,0.3904936060424361,2.603512814880544,-0.10709312448442354,1.7054032776396515,990.1843575418994
6.0,10.0,L6w_H10w,-0.04216523331816486,-6.141799427937293,0.37283271457407285,2.9388047431305395,-0.08878985345161301,2.0176438513541504,990.1843575418994
6.0,15.0,L6w_H15w,-0.04537670051496059,-6.068375438670712,0.38727606449330537,2.6914129825101205,-0.09942612722991255,1.8642563667575087,990.1843575418994
6.0,20.0,L6w_H20w,-0.046272004992046305,-6.1377797508767085,0.4343425686308678,2.8714144236601933,-0.10102835752311942,1.801951338257038,990.1843575418994
6.0,25.0,L6w_H25w,-0.04590078119026293,-6.067445574752227,0.390275949393212,2.568097222129917,-0.10550520506352745,1.7805555470229413,990.1843575418994
6.0,30.0,L6w_H30w,-0.04560459561184887,-6.022168676381943,0.3889270541707187,2.5260253114851485,-0.108659531383575,1.770241477224203,990.1843575418994
