,rank_ic_raw
2023-01-04,-0.18166819440928436
2023-01-05,-0.012260737020523157
2023-01-06,0.044661883153448226
2023-01-09,0.02072003897274317
2023-01-10,-0.05152357131238339
2023-01-11,-0.15079474028224987
2023-01-12,-0.07493576142351752
2023-01-13,-0.10526308581492305
2023-01-16,0.008319452352438037
2023-01-17,-0.0531069908569039
2023-01-18,-0.005482723428313739
2023-01-19,0.1099877660940383
2023-01-20,0.05968688800880201
2023-01-30,0.002035209278292326
2023-01-31,-0.06038040365608437
2023-02-01,0.15208342226892774
2023-02-02,-0.14753436047819699
2023-02-03,0.09751208437577923
2023-02-06,-0.03836470067872557
2023-02-07,-0.03829716015135132
2023-02-08,-0.17446590375094553
2023-02-09,0.03805161050431648
2023-02-10,-0.14708798007261914
2023-02-13,-0.10456828077655106
2023-02-14,-0.18028301494382684
2023-02-15,-0.014518813694752724
2023-02-16,-0.1418965089764505
2023-02-17,-0.2694975345559459
2023-02-20,-0.05817177954063107
2023-02-21,-0.0921270499376154
2023-02-22,-0.14535203238607852
2023-02-23,-0.08974155829753193
2023-02-24,-0.07464664285719447
2023-02-27,-0.1442371339864902
2023-02-28,-0.06496696632106792
2023-03-01,0.10682945726907801
2023-03-02,0.011149049742201622
2023-03-03,0.04243507630110794
2023-03-06,-0.12431671772018861
2023-03-07,-0.0984412640795612
2023-03-08,0.12835602219614373
2023-03-09,0.029293874572177
2023-03-10,0.007105133611690526
2023-03-13,0.022002455979369916
2023-03-14,0.0697802386354512
2023-03-15,-0.1793957107436778
2023-03-16,-0.046041210673626355
2023-03-17,0.17976305640700815
2023-03-20,0.018470043732705638
2023-03-21,-0.12093759758042165
2023-03-22,-0.0014462114473269873
2023-03-23,0.2049354809355598
2023-03-24,0.043422390244567066
2023-03-27,0.08895994441950823
2023-03-28,-0.3156314109349784
2023-03-29,-0.0589712368293874
2023-03-30,-0.17073026350415013
2023-03-31,-0.04242921089873206
2023-04-03,0.19397907520935567
2023-04-04,0.10409075981170925
2023-04-06,0.1208564619259826
2023-04-07,-0.13830196653924012
