universe,benchmark,date_start,date_end,n_days,n_names_avg,n_names_min,n_names_max,rank_ic,rank_ic_std,rank_ic_tstat,icir,effective_direction,effective_ic_positive_day_share,effective_hl_mean_positive,hl_annu_ret,hl_sharpe,hl_mdd,hl_turnover,g10_exact_ew_excess_annu_ret,g10_exact_ew_excess_sharpe,g10_exact_ew_excess_mdd,g10_count_avg
ALL,exact_valid_universe_EW,2023-01-04,2024-06-28,358,4840.120111731843,3602,4947,-0.05528860096329494,0.11984413267935969,-8.728916461390137,-7.294387458915758,-1,0.6955307262569832,True,0.4481662274631344,3.0472696393165175,-0.2051397870392878,1.7275514028175143,0.09073078724676002,1.305779707265033,-0.15599866110908933,484.4441340782123
CSI300,exact_valid_universe_EW,2023-01-04,2024-06-28,358,299.0335195530726,291,300,-0.021204256777115283,0.10040778259474926,-3.995739729704125,-3.339071224059286,-1,0.611731843575419,True,0.14272902627618667,1.2592358779673158,-0.0990262768291288,1.6770949720670394,0.039216429733294714,0.6380876904016298,-0.09157718868768383,30.0
CSI500,exact_valid_universe_EW,2023-01-04,2024-06-28,358,496.91340782122904,424,500,-0.0344653591248557,0.1228850797071551,-5.306707689561172,-4.434591875187008,-1,0.6061452513966481,True,0.22354090112186792,1.4853288256789028,-0.09568630805642872,1.715990740235855,0.03331363447006181,0.49997409926107744,-0.03469228682128245,49.95530726256983
CSI1000,exact_valid_universe_EW,2023-01-04,2024-06-28,358,990.1843575418994,857,999,-0.04801260372990662,0.1198624183339956,-7.579031918028353,-6.333477427367184,-1,0.6787709497206704,True,0.4112345716486952,2.7421975321643415,-0.0967738549322657,1.6884131473887498,0.08322420475471445,1.40594406157036,-0.038410120417328594,99.4608938547486
