date,Low,Mid,High
2023-01-04,-0.20582548366360925,-0.1404320830467822,-0.10813706435624225
2023-01-05,0.014313643876899665,0.009798109659703992,-0.10828640869887385
2023-01-06,0.07840055431757678,0.04816955299335909,0.06913668038737207
2023-01-09,0.018748038214901924,0.00888635181117105,0.02965601949899795
2023-01-10,-0.16405745076599232,-0.1409098676549581,0.02029485525178237
2023-01-11,-0.08377414470044463,-0.061928661110242235,-0.14992729707921923
2023-01-12,-0.1102582455042368,-0.06240698091648,0.03776191626114943
2023-01-13,-0.06848051454776367,-0.0884916551993483,-0.056881730349261965
2023-01-16,0.052126767128322225,0.003885154829966598,-0.010070285803356853
2023-01-17,0.01720548231139843,0.04459211501940821,-0.04549877418026705
2023-01-18,0.06282176008192208,0.020715024264255647,-0.018020066823302608
2023-01-19,0.08833290827125492,0.121190110518521,0.16262834176859448
2023-01-20,0.08440936237123041,0.10376855264414217,0.03191340340250631
2023-02-13,-0.11763364223674092,-0.152136883277219,-0.05952103975027458
2023-02-14,-0.15609510086575407,-0.09243281495308134,-0.08749256711978488
2023-02-15,-0.05149680735213502,-0.10617619440477653,-0.020715068006096213
2023-02-16,-0.10938532910562838,-0.03640832338210199,-0.10847875575006943
2023-02-17,-0.07837217641433264,-0.22388029465717285,-0.3144091061583312
2023-02-20,-0.010022930023191327,-0.15486681299220675,-0.056914290230336194
2023-02-21,-0.056821354208755046,-0.007293328865191169,-0.09117398998820372
2023-02-22,-0.09035327155760665,-0.15315986315117486,-0.14109913673510258
2023-02-23,-0.03589303593953495,-0.0929300697399438,0.018473034162594413
2023-02-24,-0.12507574423808457,-0.09865620950120332,-0.00027562250148019466
2023-02-27,-0.01226389015080705,-0.1032500604511956,-0.12606514291551343
2023-02-28,-0.050898155486595695,-0.07934089347329185,-0.08044693627122058
2023-03-01,0.08309492250632969,0.012278094933607684,0.07363181671206574
2023-03-02,-0.042062535265072316,0.056950598496198164,0.11789128398994105
2023-03-03,0.20892594140300244,0.004450712577713409,0.06059889094096909
2023-03-06,-0.10094253198787898,-0.10605850436489501,-0.0677707331760776
2023-03-07,0.045114921633330626,-0.035332396379821364,-0.04324443439909054
2023-03-08,0.021123652565677317,0.05486102349326677,0.09217523996427004
2023-03-09,0.11493952976092933,0.07427869884943718,-0.045477087187425776
2023-03-10,-0.01487046775670561,-0.022909973974437614,0.06964341395639383
2023-03-13,-0.01194181408861849,-0.12917492114766055,0.06400578721523396
2023-03-14,0.16958625584572443,0.02931133368289849,0.08246037490234517
2023-03-15,-0.03381406510789495,-0.09210642598898114,-0.23692657560833388
2023-03-16,-0.01605101487149856,-0.0911538693807698,0.08160710595549658
2023-03-17,0.16800872090226893,0.03355222318295646,0.11545018123661718
2023-03-20,-0.054218388725549904,0.05674303914417088,-0.01947843572792427
2023-03-21,-0.08537214705178552,-0.10554324594984886,-0.29485863721714567
2023-03-22,-0.09717435999133775,-0.15393796429118298,0.16981586997171114
2023-03-23,0.045026256166758406,0.12725381540281536,0.27901725368676766
2023-03-24,-0.016941005107540843,-0.03071532877706225,0.09066026474341574
2023-03-27,-0.02547577004927711,0.006568120591502526,0.07759955010250133
2023-03-28,-0.21663791497913143,-0.21501806433333534,-0.24116049184175264
2023-03-29,-0.06032947524031366,-0.07752292230840624,-0.12124948454642163
2023-03-30,-0.1011398915609336,-3.016926103461853e-05,-0.180084828728223
2023-03-31,-0.09956955907008017,-0.22152126228304875,-0.05887590819141548
2023-04-03,0.03610370785100667,0.010955989411525955,0.28983017888488716
2023-04-04,0.04034824339626898,0.037690013649547716,0.18982017727497338
2023-04-06,0.08203936537536122,0.1335900066247163,0.10173808693793499
2023-04-07,-0.19352350962950257,-0.008188698093809772,-0.14707494393504114
2023-04-10,0.013517535306659383,0.10545544701891954,-0.2948128161134152
2023-04-11,-0.07553121674843483,-0.018146385900095034,-0.05807422761330537
2023-04-12,0.04306352837426378,-0.14227796564018144,0.11122611848301281
2023-04-13,-0.03792113833234554,0.010708120733530307,-0.2854560295354524
2023-04-14,0.08315926629520859,0.09184883937885964,0.03419267816215162
2023-04-17,0.06706700372254658,-0.04440535507624861,-0.1897025675753409
2023-04-18,0.06595476852071032,-0.02903536748341497,-0.16890476054150932
2023-04-19,-0.017792079828654297,-0.16176717793858336,0.014476789980791086
2023-04-20,-0.02004374233047357,-0.03795275379520646,0.1989794885244711
2023-04-21,-0.05112045922813542,-0.06131793489493486,-0.26129100954187073
2023-04-24,-0.03021778124305746,-0.04087356783970109,-0.08176643233683657
2023-04-25,0.016660056612700116,-0.018527846733360498,0.013109842550132372
2023-04-26,-0.2083147667320392,-0.03856780894352489,-0.261969934032467
2023-04-27,-0.13513568745538693,-0.03908129962972072,-0.2912810443349391
2023-04-28,0.05554061145006927,0.021757893319541914,0.2030308095234554
2023-05-04,0.03562415599593086,-0.08587575644908975,-0.06117431558276799
2023-05-05,0.16612579018075818,0.05234614386233789,0.0044488148583041
2023-05-08,0.17622221841545402,0.2330272040856339,0.07366791950765678
2023-05-09,0.2205435288307126,-0.011631099860364058,0.029879773630417016
2023-05-10,-0.10446849449825049,-0.11912945795973448,-0.15959888417239032
2023-05-11,0.03339327428943552,0.07814985071770966,-0.06928246014379515
2023-05-12,-0.10238504699146189,-0.1555651926775506,-0.21653831426354203
2023-05-15,0.09295101056286682,0.03135870491204638,-0.2032689005583508
2023-05-16,0.012930044235453981,-0.0027183264889215114,-0.16594163694688113
2023-05-17,0.036354924224149765,-0.062378041193499746,0.09196577092531566
2023-05-18,0.02092657547977324,-0.06484439800940213,0.20343236943708387
