universe,method,date_start,date_end,n_days,n_names_avg,n_names_min,n_names_max,rank_ic,rank_ic_std,rank_ic_tstat,icir,effective_direction,effective_ic_positive_day_share,effective_hl_mean_positive,hl_annu_ret,hl_sharpe,hl_mdd,hl_turnover,g10_exact_ew_excess_annu_ret,g10_exact_ew_excess_sharpe,g10_exact_ew_excess_mdd,g10_count_avg
ALL,raw,2023-01-04,2024-06-28,358,4840.120111731843,3602,4947,-0.05528860096329494,0.11984413267935969,-8.728916461390137,-7.294387458915758,-1,0.6955307262569832,True,0.4481662274631344,3.0472696393165175,-0.2051397870392878,1.7275514028175143,0.09073078724676002,1.305779707265033,-0.15599866110908933,484.4441340782123
ALL,industry,2023-01-04,2024-06-28,358,4840.120111731843,3602,4947,-0.05384897544914163,0.09920520468261329,-10.27033241646301,-8.58248378351566,-1,0.7513966480446927,True,0.46332967103301836,3.9399263782852185,-0.17573060136066207,1.75179810595603,0.10074891618535821,1.637359833748633,-0.14524508179724868,484.4441340782123
ALL,market_cap,2023-01-04,2024-06-28,358,4840.120111731843,3602,4947,-0.05678342820483151,0.09831579371061354,-10.927978513988961,-9.132050899596667,-1,0.7262569832402235,True,0.5110778438480633,4.158566346581737,-0.05877135702506222,1.7894974417443108,0.09725238400989981,1.6659824648973702,-0.0712736054042367,484.4441340782123
ALL,industry+market_cap,2023-01-04,2024-06-28,358,4840.120111731843,3602,4947,-0.05451195225365007,0.07070403788145554,-14.5877741958704,-12.190387846936234,-1,0.8016759776536313,True,0.5193860923677222,6.1521279740678,-0.04020218130749266,1.8193738907020565,0.10903812821490655,2.449782849353381,-0.0588107296932075,484.4441340782123
CSI300,raw,2023-01-04,2024-06-28,358,299.0335195530726,291,300,-0.021204256777115283,0.10040778259474926,-3.995739729704125,-3.339071224059286,-1,0.611731843575419,True,0.14272902627618667,1.2592358779673158,-0.0990262768291288,1.6770949720670394,0.039216429733294714,0.6380876904016298,-0.09157718868768383,30.0
CSI300,industry,2023-01-04,2024-06-28,358,299.0335195530726,291,300,-0.014066588630341026,0.06857118585548193,-3.8814021325351673,-3.2435241147976877,-1,0.6201117318435754,True,0.08711432064954679,1.095437532802464,-0.06743787726553674,1.6955307262569825,0.016453924343214785,0.3046162156627078,-0.07392971458080455,30.0
CSI300,market_cap,2023-01-04,2024-06-28,358,299.0335195530726,291,300,-0.03488281666450429,0.1373307475880969,-4.806016688385601,-4.0161855155979715,-1,0.5893854748603352,True,0.23543597797894786,1.60279505840225,-0.10448888957747247,1.7616387337057726,0.07011026525545958,1.0616721178101183,-0.07646871155593196,30.0
CSI300,industry+market_cap,2023-01-04,2024-06-28,358,299.0335195530726,291,300,-0.020854070970944365,0.07749588941992248,-5.091593149600163,-4.2548297237833825,-1,0.61731843575419,True,0.13436278314147787,1.4828605237570416,-0.0656231093347894,1.842271880819366,0.038762609580651024,0.7736991401054197,-0.05400845113307429,30.0
CSI500,raw,2023-01-04,2024-06-28,358,496.91340782122904,424,500,-0.0344653591248557,0.1228850797071551,-5.306707689561172,-4.434591875187008,-1,0.6061452513966481,True,0.22354090112186792,1.4853288256789028,-0.09568630805642872,1.715990740235855,0.03331363447006181,0.49997409926107744,-0.03469228682128245,49.95530726256983
CSI500,industry,2023-01-04,2024-06-28,358,496.91340782122904,424,500,-0.03150731361706559,0.07702973700864542,-7.739171559255263,-6.467299373745946,-1,0.6843575418994413,True,0.23032027305272354,2.4344080285761875,-0.06634299980018302,1.7654370876356371,0.043991292842424985,0.8761817712740707,-0.03413062231638245,49.95530726256983
CSI500,market_cap,2023-01-04,2024-06-28,358,496.91340782122904,424,500,-0.0347039671986689,0.13095303638765274,-5.014239395671214,-4.19018845300766,-1,0.6089385474860335,True,0.25060499316745083,1.6451887837046275,-0.09138218750882227,1.7177807299747665,0.03915806195093481,0.5530388328098367,-0.0513650226623203,49.95530726256983
CSI500,industry+market_cap,2023-01-04,2024-06-28,358,496.91340782122904,424,500,-0.03249328906478405,0.08580737265960084,-7.164907417217036,-5.987411042322787,-1,0.6536312849162011,True,0.21630880256943716,2.183483699869946,-0.0643382811388219,1.7585571027050606,0.024587978445277957,0.4519212971283826,-0.03330417792393564,49.95530726256983
CSI1000,raw,2023-01-04,2024-06-28,358,990.1843575418994,857,999,-0.04801260372990662,0.1198624183339956,-7.579031918028353,-6.333477427367184,-1,0.6787709497206704,True,0.4112345716486952,2.7421975321643415,-0.0967738549322657,1.6884131473887498,0.08322420475471445,1.40594406157036,-0.038410120417328594,99.4608938547486
CSI1000,industry,2023-01-04,2024-06-28,358,990.1843575418994,857,999,-0.04617168038415515,0.07658746940652232,-11.406685673064393,-9.532086289223583,-1,0.7458100558659218,True,0.40259019380991035,4.170052528749307,-0.06624436708845696,1.7514268268325222,0.09520603152433396,2.1300803542605813,-0.028673438723216746,99.4608938547486
CSI1000,market_cap,2023-01-04,2024-06-28,358,990.1843575418994,857,999,-0.04524281045272971,0.12295992286272311,-6.961895601534809,-5.817762627324859,-1,0.6480446927374302,True,0.34915705297312416,2.4214678040498976,-0.10046949539534938,1.7058208128824548,0.08154882403609902,1.2720721352335678,-0.037965253024106006,99.4608938547486
CSI1000,industry+market_cap,2023-01-04,2024-06-28,358,990.1843575418994,857,999,-0.04410851467188179,0.07674961734868498,-10.87395991831929,-9.08690983672317,-1,0.729050279329609,True,0.4062360164849068,4.416722363457205,-0.07219552494970548,1.7554049980719377,0.1082226327338442,2.2947159847052205,-0.030272551325164824,99.4608938547486
