turnover_tercile,rank_ic,rank_ic_std,icir,negative_ic_day_share,n_days
Low,-0.013493022013850414,0.10053216694633596,-2.122140772382627,0.5579268292682927,328
Mid,-0.027023997158247152,0.09155358325110226,-4.667069243352082,0.6158536585365854,328
High,-0.05599530245734653,0.12465102211920859,-7.102737347227568,0.6707317073170732,328
