,rank_ic_raw
2023-01-04,-0.170746813973711
2023-01-05,0.028007565109020707
2023-01-06,0.04747490800681484
2023-01-09,-0.03512108360499369
2023-01-10,0.009380914745465855
2023-01-11,-0.03666830297209988
2023-01-12,-0.07181582828780837
2023-01-13,-0.03862129062472677
2023-01-16,-0.019885028754857082
2023-01-17,0.012397215843246694
2023-01-18,-0.13066740367597027
2023-01-19,0.021997836899892785
2023-01-20,0.031546592780272886
2023-01-30,-0.0820084323603756
2023-01-31,-0.10350309898539899
2023-02-01,0.06115764554676905
2023-02-02,-0.10784350388511332
2023-02-03,0.018572826158950468
2023-02-06,-0.1338645833311293
2023-02-07,-0.06626074775650374
2023-02-08,-0.18288675517913278
2023-02-09,0.053780070410111895
2023-02-10,-0.14188555714930842
2023-02-13,-0.07117426711711033
2023-02-14,-0.10822222581507877
2023-02-15,-0.03868854077051057
2023-02-16,-0.08235933405701022
2023-02-17,-0.2438257113291236
2023-02-20,0.017989536679025725
2023-02-21,-0.0680022672761101
2023-02-22,-0.16803577680605525
2023-02-23,-0.10072639826957895
2023-02-24,-0.13260293027828557
2023-02-27,-0.06414386748807288
2023-02-28,-0.11603435957664279
2023-03-01,0.01663091917065354
2023-03-02,-0.008969538630086663
2023-03-03,0.0736506843520924
2023-03-06,-0.06170805866844285
2023-03-07,-0.05801721805032911
2023-03-08,-0.06375712628845356
2023-03-09,-0.08218567496500205
2023-03-10,0.02224378678156054
2023-03-13,0.05095674228473864
2023-03-14,0.13467914631761
2023-03-15,-0.2507484409312337
2023-03-16,0.0008135377244083497
2023-03-17,0.10410230385601418
2023-03-20,-0.048973849069886
2023-03-21,-0.2049053137409611
2023-03-22,-0.07014064867782181
2023-03-23,0.1867569886354492
2023-03-24,-0.016874068423184417
2023-03-27,0.0781729847054976
2023-03-28,-0.21825607417119625
2023-03-29,0.05683746190737813
2023-03-30,-0.010843876069483805
2023-03-31,-0.07432445170623529
2023-04-03,0.15026244827957488
2023-04-04,0.1445492099107482
2023-04-06,0.1251014012892461
2023-04-07,-0.1029912773170717
2023-04-10,0.012157771375896948
2023-04-11,0.02106315146010833
2023-04-12,-0.01101625656703526
2023-04-13,-0.17391793668440156
2023-04-14,0.06666812886388379
2023-04-17,-0.1096150781647793
2023-04-18,0.0074376568911278165
2023-04-19,-0.026474253102782036
2023-04-20,0.11226603059662288
2023-04-21,-0.13258143985825777
2023-04-24,-0.11164338450537191
2023-04-25,-0.028276408335660926
2023-04-26,-0.18891447886081394
2023-04-27,-0.18423991711202142
2023-04-28,-0.01503927024796929
2023-05-04,-0.1053879504342207
2023-05-05,-0.06187189949977961
2023-05-08,0.0910953170753158
2023-05-09,0.032469943809162995
2023-05-10,-0.19623380978205032
2023-05-11,-0.17580506367785642
2023-05-12,-0.20530716744025282
2023-05-15,0.0008541778682254085
2023-05-16,-0.07317071625277068
2023-05-17,-0.14120579769405162
2023-05-18,-0.04366150520003069
2023-05-19,-0.05605278483755768
2023-05-22,-0.18689667614125358
2023-05-23,-0.18448011235928385
2023-05-24,-0.03736478311889833
2023-05-25,-0.035435485490980606
2023-05-26,-0.07853075747193895
2023-05-29,0.08184304015841978
2023-05-30,0.06991382003233819
2023-05-31,0.05549313921990614
2023-06-01,0.0501886979830488
2023-06-02,-0.15799642663888724
2023-06-05,-0.08442240401238568
2023-06-06,-0.036434534206883265
2023-06-07,0.02656221298969514
2023-06-08,-0.035781066632925185
2023-06-09,0.09392721177739767
2023-06-12,-0.21530847220449215
2023-06-13,0.037386271663273254
2023-06-14,-0.05318797480233195
2023-06-15,-0.03582253868186038
2023-06-16,0.12530194857511343
