,1,2,3,4,5,6,7,8,9,10,H-L
2023-01-04,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
2023-01-05,1.0445859872611463,1.4607218683651804,1.548936170212766,1.6772823779193204,1.6772823779193202,1.6680851063829787,1.6390658174097663,1.5191489361702128,1.4946921443736731,0.8874734607218684,1.9320594479830147
2023-01-06,0.9661016949152543,1.4352441613588112,1.5668789808917196,1.6864406779661016,1.6772823779193207,1.6985138004246285,1.6694915254237288,1.6263269639065818,1.5074309978768579,0.9491525423728814,1.9152542372881358
2023-01-09,0.9725158562367864,1.478813559322034,1.5720338983050848,1.5847457627118642,1.6355932203389831,1.6059322033898304,1.6059322033898304,1.5296610169491527,1.5169491525423728,0.9194915254237288,1.8920073816605152
2023-01-10,0.9513742071881608,1.3983050847457625,1.5805084745762712,1.6483050847457625,1.623678646934461,1.635593220338983,1.6440677966101696,1.6144067796610169,1.4364406779661016,0.9513742071881606,1.9027484143763214
2023-01-11,0.9894291754756872,1.4418604651162792,1.597457627118644,1.653276955602537,1.5983086680761098,1.6652542372881356,1.6744186046511629,1.6059322033898304,1.5095137420718818,0.9429175475687104,1.9323467230443976
2023-01-12,0.919831223628692,1.4430379746835444,1.5602536997885836,1.6413502109704643,1.674418604651163,1.6877637130801686,1.6405919661733617,1.59915611814346,1.5306553911205074,0.9029535864978904,1.8227848101265822
2023-01-13,0.9367088607594938,1.4177215189873418,1.5560253699788587,1.620253164556962,1.649048625792812,1.649789029535865,1.653276955602537,1.5864978902953586,1.517970401691332,0.9789029535864979,1.9156118143459917
2023-01-16,1.010570824524313,1.4872881355932202,1.6448202959830867,1.6864406779661016,1.699788583509514,1.7245762711864407,1.690677966101695,1.6321353065539113,1.5296610169491525,0.9852008456659619,1.9957716701902748
2023-01-17,0.9767441860465116,1.4406779661016949,1.602536997885835,1.6228813559322033,1.6448202959830867,1.711864406779661,1.6779661016949152,1.543340380549683,1.6144067796610169,1.095137420718816,2.0718816067653276
2023-01-18,0.9725158562367865,1.4672304439746302,1.5771670190274842,1.7076271186440677,1.6955602536997887,1.6617336152219875,1.6355932203389831,1.5898520084566596,1.4968287526427062,0.9978858350951374,1.970401691331924
2023-01-19,1.0021141649048628,1.4291754756871038,1.6152219873150107,1.6955602536997887,1.653276955602537,1.6913319238900635,1.6405919661733614,1.6067653276955602,1.46723044397463,1.0232558139534884,2.0253699788583512
2023-01-20,0.9682875264270614,1.4291754756871038,1.5805084745762712,1.5687103594080338,1.6744186046511627,1.6398305084745761,1.6321353065539115,1.5932203389830508,1.522198731501057,0.9513742071881608,1.9196617336152222
2023-01-30,0.9662447257383967,1.4883720930232558,1.6321353065539113,1.6109936575052854,1.733615221987315,1.6067653276955605,1.6363636363636362,1.5813953488372094,1.4756871035940802,0.9620253164556962,1.928270042194093
