,TGD20,FlowDensity20,D1_LiquidityQuality60d,D4_WinnerSentimentReversal5d,D5_UpsideFragility20d
TGD20,,9.118689593750522,6.060163954732691,8.305048611155986,7.587567025702843
FlowDensity20,1.6805991409252765,,-0.6167796510057779,4.780253722278752,3.4813732653113467
D1_LiquidityQuality60d,7.206379119306305,8.710414628573368,,7.871789245982944,7.252682342278141
D4_WinnerSentimentReversal5d,1.9224196703244074,4.2056169639949195,-0.5522023672380921,,-1.2303088902241242
D5_UpsideFragility20d,-7.088885343047137,-8.9890353097501,-5.325045588940679,-7.594804771136717,
