y,x,case,cs_corr,raw_icir_y,residual_ic_mean,residual_icir,residual_ic_t,icir_retention,role
TGD20,FlowDensity20,TGD20_perp_FlowDensity20,0.2173612563555534,11.281222814092933,0.03068219410210286,9.118689593750522,17.766240391473733,0.808306842619854,independent_source
TGD20,D1_LiquidityQuality60d,TGD20_perp_D1_LiquidityQuality60d,0.36675111096153173,11.281222814092933,0.016313706567438635,6.060163954732691,11.807215118421627,0.5371903431569585,partial_overlap_enhancer
TGD20,D4_WinnerSentimentReversal5d,TGD20_perp_D4_WinnerSentimentReversal5d,0.07500915610919238,11.281222814092933,0.029793590239422803,8.305048611155986,16.180997123730922,0.7361833684182714,independent_source
TGD20,D5_UpsideFragility20d,TGD20_perp_D5_UpsideFragility20d,-0.18115016814231827,11.281222814092933,0.024781843416379224,7.587567025702843,14.78310434620373,0.6725837394350695,partial_overlap_enhancer
FlowDensity20,TGD20,FlowDensity20_perp_TGD20,0.2173612563555534,4.846912963196787,0.007922902040468123,1.6805991409252765,3.2743661282039676,0.3467359850870595,mostly_redundant
FlowDensity20,D1_LiquidityQuality60d,FlowDensity20_perp_D1_LiquidityQuality60d,0.34436823920590887,4.846912963196787,-0.002691558485647169,-0.6167796510057779,-1.2016919136986384,-0.1272520583078472,redundant_or_absorbed
FlowDensity20,D4_WinnerSentimentReversal5d,FlowDensity20_perp_D4_WinnerSentimentReversal5d,-0.026501365636558027,4.846912963196787,0.02290631411251482,4.780253722278752,9.313524261254171,0.986247072843233,independent_source
FlowDensity20,D5_UpsideFragility20d,FlowDensity20_perp_D5_UpsideFragility20d,-0.09993076265853544,4.846912963196787,0.01611558997070583,3.4813732653113467,6.7828730968494275,0.7182660988026497,independent_source
D1_LiquidityQuality60d,TGD20,D1_LiquidityQuality60d_perp_TGD20,0.36675111096153173,9.724094549448779,0.038750184960170055,7.206379119306305,14.040423513641468,0.7410848467855351,independent_source
D1_LiquidityQuality60d,FlowDensity20,D1_LiquidityQuality60d_perp_FlowDensity20,0.34436823920590887,9.724094549448779,0.04631885942778334,8.710414628573368,16.97078495869652,0.8957558551368803,independent_source
D1_LiquidityQuality60d,D4_WinnerSentimentReversal5d,D1_LiquidityQuality60d_perp_D4_WinnerSentimentReversal5d,0.16114772279953235,9.724094549448779,0.04528114389272622,7.871789245982944,15.336863769438771,0.809513853033151,independent_source
D1_LiquidityQuality60d,D5_UpsideFragility20d,D1_LiquidityQuality60d_perp_D5_UpsideFragility20d,-0.34091342306777556,9.724094549448779,0.0368827382475436,7.252682342278141,14.130637593390539,0.7458465469866568,independent_source
D4_WinnerSentimentReversal5d,TGD20,D4_WinnerSentimentReversal5d_perp_TGD20,0.07500915610919238,5.64124121740653,0.009274243453066563,1.9224196703244074,3.7455129539323946,0.34077955475341454,mostly_redundant
D4_WinnerSentimentReversal5d,FlowDensity20,D4_WinnerSentimentReversal5d_perp_FlowDensity20,-0.026501365636558027,5.64124121740653,0.02215833179376257,4.2056169639949195,8.193940720166802,0.7455126986979621,independent_source
D4_WinnerSentimentReversal5d,D1_LiquidityQuality60d,D4_WinnerSentimentReversal5d_perp_D1_LiquidityQuality60d,0.16114772279953235,5.64124121740653,-0.0029697706167672254,-0.5522023672380921,-1.0758738851925012,-0.0978866788277418,redundant_or_absorbed
D4_WinnerSentimentReversal5d,D5_UpsideFragility20d,D4_WinnerSentimentReversal5d_perp_D5_UpsideFragility20d,-0.4703798357138157,5.64124121740653,-0.005270102628916821,-1.2303088902241242,-2.397050944081853,-0.2180918777994994,mostly_redundant
D5_UpsideFragility20d,TGD20,D5_UpsideFragility20d_perp_TGD20,-0.18115016814231827,-9.55682571695531,-0.02988644116690701,-7.088885343047137,-13.81150655665315,0.741761496233037,independent_source
D5_UpsideFragility20d,FlowDensity20,D5_UpsideFragility20d_perp_FlowDensity20,-0.09993076265853544,-9.55682571695531,-0.03805288192924406,-8.9890353097501,-17.513630720571616,0.9405879709412447,independent_source
D5_UpsideFragility20d,D1_LiquidityQuality60d,D5_UpsideFragility20d_perp_D1_LiquidityQuality60d,-0.34091342306777556,-9.55682571695531,-0.0193117729936832,-5.325045588940679,-10.374960026440094,0.5571981478633865,partial_overlap_enhancer
D5_UpsideFragility20d,D4_WinnerSentimentReversal5d,D5_UpsideFragility20d_perp_D4_WinnerSentimentReversal5d,-0.4703798357138157,-9.55682571695531,-0.03219506709706847,-7.594804771136717,-14.797205881731228,0.7946995159347042,independent_source
