universe,rank_ic,icir,n_days
ALL,-0.03312252339505098,-9.456077813251678,726
CSI300,-0.025939540513384523,-3.8811644725455046,726
CSI500,-0.021714208637274152,-3.8317778370371296,726
CSI1000,-0.03117729142297363,-6.982850692840361,726
