mode,rank_ic,icir,ic_pos_ratio,n_days,monthly_rank_ic,monthly_icir,ic_retention_vs_raw
raw,-0.03769600067347499,-6.5826657398660435,0.2988980716253444,726,-0.04838175611421648,-1.9173527789418272,1.0
size,-0.03741478147988568,-7.20813748037235,0.3044077134986226,726,-0.04774070838468735,-2.238968032791392,0.9925398135461306
industry,-0.03335028617749906,-8.167957415491841,0.256198347107438,726,-0.04505518693290563,-2.1614927412581535,0.8847168288854096
size_industry,-0.03312252339505098,-9.456077813251678,0.25068870523415976,726,-0.04461046342872783,-2.6564394006803873,0.8786747348070225
