knife,family,raw_ic,raw_icir,closest_peer,abs_corr_to_peer,resid_ic_vs_peer,resid_t_vs_peer,independent
volume,participation,-0.04430838150662527,-6.663074003876077,amount,0.9198983600374241,-0.027951728015992276,-10.782505196029744,False
amount,participation,-0.04417146385122353,-6.853191296571843,volume,0.9198983600374241,-0.0258952019544843,-11.521100749274506,False
trade_count,trader_structure,-0.03853312965223983,-6.152914812367486,ats_trade_count,0.17336889520213944,-0.02979557823324448,-9.016316362311047,True
ats_trade_count,trader_structure,-0.037249433379142285,-6.450613014799807,trade_count,0.17336889520213944,-0.031929937708634726,-10.75587841411515,True
ats_volume,trader_structure,-0.029956778328495633,-4.746770514548181,turnover,0.9999999999999998,-0.0036095842243169403,-1.0616941484055173,False
turnover,participation,-0.029956778328495633,-4.746770514548181,ats_volume,0.9999999999999998,-0.0036095842243169403,-1.0616941484055173,False
amihud,liquidity,-0.02386748652342811,-2.8800533502157037,ats_volume,0.025854025605237287,-0.023815875501814923,-5.508800690253781,True
volatility_state,liquidity,-0.003317926516592152,-0.5549307275100033,ats_trade_count,,-0.007056174310255574,-2.1058741132062857,True
