Date,cum_hl
2020-01-03,-9.908557144484766e-05
2020-01-06,-0.003516327425210828
2020-01-07,-0.012775515403106577
2020-01-08,-0.00569612134183285
2020-01-09,-0.014474985828561679
2020-01-10,-0.008144473826788828
2020-01-13,-0.015159536008388558
2020-01-14,-0.014244238247151876
2020-01-15,-0.01481954490573379
2020-01-16,-0.023402722851153173
2020-01-17,-0.019617776734579706
2020-01-20,-0.01709365803901028
2020-01-21,-0.007274760416742252
2020-01-22,-0.019218972920217875
2020-01-23,-0.008370481722911126
2020-02-03,0.0009249864890399431
2020-02-04,-0.04658242003482505
2020-02-05,-0.042907185579214205
2020-02-06,-0.04299569524735243
2020-02-07,-0.07048147644685832
2020-02-10,-0.1095798006394985
2020-02-11,-0.10816452732749071
2020-02-12,-0.12010142327204809
2020-02-13,-0.12738272700129286
2020-02-14,-0.12785356807944057
2020-02-17,-0.13910513226872293
2020-02-18,-0.14760785941763843
2020-02-19,-0.15738583819144142
2020-02-20,-0.16060770401990962
2020-02-21,-0.15773306642952328
2020-02-24,-0.15461825210000285
2020-02-25,-0.14535913331512662
2020-02-26,-0.16543692177277056
2020-02-27,-0.1530766144754271
2020-02-28,-0.12834273007224312
2020-03-02,-0.14725622403980898
2020-03-03,-0.1576303333326678
2020-03-04,-0.14180448629175607
2020-03-05,-0.13862182222992184
2020-03-06,-0.14000576144720184
2020-03-09,-0.11501645693947916
2020-03-10,-0.14795744756057871
2020-03-11,-0.1284223078041635
2020-03-12,-0.12655375465797192
2020-03-13,-0.13190120761219723
2020-03-16,-0.09177425043354087
2020-03-17,-0.1028464822910353
2020-03-18,-0.0965105794102988
2020-03-19,-0.12392357707643042
2020-03-20,-0.11004082846563334
2020-03-23,-0.06972927990505065
2020-03-24,-0.0758408369071075
2020-03-25,-0.08719070856976077
2020-03-26,-0.07173500995855343
2020-03-27,-0.05208509350309838
2020-03-30,-0.034367117341217286
2020-03-31,-0.026134856977591783
2020-04-01,-0.03582813868329691
2020-04-02,-0.06781108842880454
2020-04-03,-0.05664043340757373
2020-04-07,-0.07200133867046009
2020-04-08,-0.06975466356949128
2020-04-09,-0.07104960924992129
2020-04-10,-0.043171425299906266
2020-04-13,-0.02400719104404134
2020-04-14,-0.04100231599989104
2020-04-15,-0.036095432794338946
2020-04-16,-0.039996728097794296
2020-04-17,-0.044252941684286784
2020-04-20,-0.05011208021375188
2020-04-21,-0.05226022522638385
2020-04-22,-0.05646630852931099
2020-04-23,-0.04606658375401657
2020-04-24,-0.02804876146316869
2020-04-27,-0.013477449226595627
2020-04-28,0.0031236233651948594
2020-04-29,0.016724754621382888
2020-04-30,0.0021026766565047737
2020-05-06,-0.019674186596364315
2020-05-07,-0.021734431088872942
2020-05-08,-0.026050817384425533
2020-05-11,-0.03153930424561566
2020-05-12,-0.036974169104079385
2020-05-13,-0.04220483734645907
2020-05-14,-0.041357888592972326
2020-05-15,-0.03989914918577364
2020-05-18,-0.02765115954355426
2020-05-19,-0.03571865844887802
2020-05-20,-0.033673823128115676
2020-05-21,-0.026003807822097713
2020-05-22,-0.01762201649249604
2020-05-25,-0.008373813735429407
2020-05-26,-0.027145908342026452
2020-05-27,-0.0181781373964052
2020-05-28,-0.008284283807550136
2020-05-29,-0.015106858984634455
2020-06-01,-0.03616744820658793
2020-06-02,-0.03437609035953779
2020-06-03,-0.040598821646119
2020-06-04,-0.03448026422885424
2020-06-05,-0.03209676254925857
2020-06-08,-0.027113031019715614
2020-06-09,-0.029308745066773556
2020-06-10,-0.03205641441208159
2020-06-11,-0.0373246197368628
2020-06-12,-0.03927415465828622
2020-06-15,-0.03689268148705688
2020-06-16,-0.04458774937093277
2020-06-17,-0.04143137086291931
2020-06-18,-0.038643938706257305
2020-06-19,-0.04307000686322103
2020-06-22,-0.046007521647787784
2020-06-23,-0.05112836770011007
2020-06-24,-0.04477174772907323
2020-06-29,-0.05166293628887844
2020-06-30,-0.05763857102978781
2020-07-01,-0.055918497172559256
2020-07-02,-0.04613040567488129
2020-07-03,-0.03836442904536258
2020-07-06,-0.02864288402644674
2020-07-07,-0.05090910054038142
2020-07-08,-0.0454573136447562
2020-07-09,-0.058110704730691194
2020-07-10,-0.06783003357480444
2020-07-13,-0.07151050973544626
2020-07-14,-0.06503733991579755
2020-07-15,-0.0578504314810367
2020-07-16,-0.041111833019842454
2020-07-17,-0.040797707477159134
2020-07-20,-0.028901807265458795
