label,n_days,mean_rank_ic,ic_std,icir_annualized,positive_ic_ratio,t_stat,hl_ann_return,hl_sharpe,hl_max_drawdown,avg_turnover,direction,decile_mono_corr
raw,1454,0.02031098668718731,0.0650126338370643,4.939730608195438,0.6279229711141678,11.912844253521213,0.16009991291288048,1.8073268579966435,-0.12433559301600591,0.2980022907954167,1,0.9143840715929301
size,1454,0.020313622472159718,0.055445174526652444,5.792867917651357,0.6334250343878954,13.97030298974353,0.15916573245037438,2.2750834799391226,-0.04580226541828732,0.30093061601807647,1,0.92005216915057
industry,1454,0.01892672269646773,0.051695867391046015,5.788814017811444,0.6623108665749656,13.960526449028508,0.15221873105767494,1.9549966395432627,-0.11444391276636816,0.3121941975599673,1,0.9510824512044445
size_industry,1454,0.018776665012101693,0.0418067010483611,7.101376909834183,0.6808803301237965,17.12595358379497,0.1460447918337178,2.48360601223742,-0.051380982818394184,0.31355816633526107,1,0.9342292350207204
