label,stage,rank_ic,icir,gross_sharpe,gross_annu_ret,net_sharpe,net_annu_ret,mdd_net,daily_turnover,annu_one_way_turnover,implied_annu_fee,direction,n_days,rebalance_freq,top_frac,entry_frac,exit_frac,min_hold,weight_method,round_trip_cost
size_industry|best_e1|ew,E3,0.0339320022964592,9.278176665071737,3.4313182387724965,0.2963272283464044,2.061090354423713,0.1800859167022436,-0.09446864343772704,0.3099768310510961,38.74710388138701,0.058120655822080515,1,951,5,0.1,,,1,ew,0.0015
size_industry|best_e1|rank,E3,0.0339320022964592,9.278176665071737,3.4372830083325776,0.2993738042031876,2.075022140564543,0.18285208957357585,-0.09510014426939034,0.3107245723456308,38.84057154320385,0.05826085731480577,1,951,5,0.1,,,1,rank,0.0015
size_industry|best_e1|zscore,E3,0.0339320022964592,9.278176665071737,3.49950335889985,0.34512213973836287,2.243800552471746,0.22374492249984818,-0.10087990423069064,0.3236725793027048,40.459072412838104,0.06068860861925716,1,951,5,0.1,,,1,zscore,0.0015
