label,stage,rank_ic,icir,gross_sharpe,gross_annu_ret,net_sharpe,net_annu_ret,mdd_net,daily_turnover,annu_one_way_turnover,implied_annu_fee,direction,n_days,rebalance_freq,top_frac,entry_frac,exit_frac,min_hold,weight_method,round_trip_cost
size_industry|daily,E1,0.041524943072059756,11.281222814092933,4.063552163128351,0.3534078857123306,1.2799406854694688,0.1111854307469437,-0.08415017252371983,0.6459265465743658,80.74081832179571,0.12111122748269358,1,951,1,0.1,,,1,ew,0.0015
size_industry|weekly_friday,E1,0.0334282395427432,9.352945060859067,3.3199144725211904,0.2801297030071441,1.8842555929254876,0.16470520541858719,-0.08550604071867819,0.3077986602361536,38.4748325295192,0.057712248794278796,1,951,friday,0.1,,,1,ew,0.0015
size_industry|every_5d,E1,0.0339320022964592,9.278176665071737,3.4313182387724965,0.2963272283464044,2.061090354423713,0.1800859167022436,-0.09446864343772704,0.3099768310510961,38.74710388138701,0.058120655822080515,1,951,5,0.1,,,1,ew,0.0015
size_industry|every_10d,E1,0.030376696569532458,8.240330600504926,2.9520677088185865,0.25511577702656585,1.9645818806160584,0.1704512210197086,-0.09293539473445497,0.2257721493516195,28.221518668952434,0.042332278003428654,1,951,10,0.1,,,1,ew,0.0015
size_industry|every_20d,E1,0.02466745384026692,6.814380796526774,2.1915797809933095,0.18247548011452186,1.4587707344279985,0.12243038883400889,-0.10785936189208027,0.1601202434147017,20.015030426837715,0.03002254564025657,1,951,20,0.1,,,1,ew,0.0015
