factor,period,universe,mode,rank_ic,annu_ic,icir,hl_annu_ret,hl_sharpe,hl_mdd,daily_turnover,implied_annu_fee,net_sharpe,monotonicity,direction
TGD20,2022-01-28_2025-12-31,ALL,raw,0.0430099245704536,0.6800466181733624,6.979512239654615,0.3687197446263754,2.768625587644667,-0.1898727748951064,0.64709891384379,0.1213310463457106,0.9958788369800716,0.9878787878787878,1
TGD20,2022-01-28_2025-12-31,ALL,size,0.0443348768748535,0.7009959535383246,8.669050579925067,0.3675158765804918,3.5180176488054418,-0.0761723709931234,0.6517982388269535,0.1222121697800537,1.5068526605473318,1.0,1
TGD20,2022-01-28_2025-12-31,ALL,industry,0.0407514252038114,0.6443366077101772,8.896414659499172,0.3498926202870341,3.189344866855732,-0.1586652342905637,0.6437016347305948,0.1206940565119865,1.163277212313254,0.9878787878787878,1
TGD20,2022-01-28_2025-12-31,ALL,size_industry,0.0415249430720597,0.6565669990826905,11.28716499138889,0.3526937998687888,4.0558701848128855,-0.0604015267571688,0.6457686192234467,0.1210816161043962,1.7189540950676885,0.9878787878787878,1
TGD20,2022-01-28_2025-12-31,ALL,execution_best,0.0415249430720597,0.6565669990826905,11.281222814092931,0.3295121604804553,3.505683957854828,-0.0809779070417353,0.2965301401279726,0.0555994012739948,2.3235655273067133,,1
