Date,cum_hl
2020-01-03,0.0070267627303147034
2020-01-06,0.012092186401896798
2020-01-07,0.008290153485965597
2020-01-08,0.010106754039582447
2020-01-09,0.0012517690455086418
2020-01-10,-0.009198393990120148
2020-01-13,-0.014042177774947682
2020-01-14,-0.01139475391502773
2020-01-15,-0.020000358641181312
2020-01-16,-0.02557263737433394
2020-01-17,-0.0362353672027909
2020-01-20,-0.04402912627850203
2020-01-21,-0.05469803827515704
2020-01-22,-0.0525250316767492
2020-01-23,-0.05833949653041563
2020-02-03,-0.08046706733302172
2020-02-04,-0.07327341699176036
2020-02-05,-0.07311480895275582
2020-02-06,-0.07729361363730393
2020-02-07,-0.06814857378826839
2020-02-10,-0.054193345947447534
2020-02-11,-0.05598469835954689
2020-02-12,-0.04827300023073125
2020-02-13,-0.046112501648054124
2020-02-14,-0.04364149401188851
2020-02-17,-0.03538268360254698
2020-02-18,-0.030532771072234927
2020-02-19,-0.024509100714986853
2020-02-20,-0.020767714928004506
2020-02-21,-0.01786579864077538
2020-02-24,-0.01972277060422187
2020-02-25,-0.02596355485182155
2020-02-26,-0.0074079048794993135
2020-02-27,-0.016722874155746553
2020-02-28,-0.03339763134619685
2020-03-02,-0.02593554698589265
2020-03-03,-0.02823104702472603
2020-03-04,-0.02401852231283858
2020-03-05,-0.02104780361845218
2020-03-06,-0.020958814741024907
2020-03-09,-0.02405019084630764
2020-03-10,-0.014145939684502538
2020-03-11,-0.009388543900008237
2020-03-12,-0.0035889045055052596
2020-03-13,0.003270437422010209
2020-03-16,-0.0012604579012956453
2020-03-17,0.0006942306970709735
2020-03-18,-0.008279639866369946
2020-03-19,-0.0018118315154717441
2020-03-20,-0.006534262943704274
2020-03-23,-0.012628816208098602
2020-03-24,-0.011794554791701935
2020-03-25,-0.015280690062937925
2020-03-26,-0.03127304544617679
2020-03-27,-0.03631138919887956
2020-03-30,-0.04247807496857858
2020-03-31,-0.05037428985393556
2020-04-01,-0.04943760430742695
2020-04-02,-0.04391358848850699
2020-04-03,-0.04611666914814194
2020-04-07,-0.05035476930267467
2020-04-08,-0.045431656423190234
2020-04-09,-0.0519498335226192
2020-04-10,-0.055976108193796656
2020-04-13,-0.06671741180612051
2020-04-14,-0.06569940129620877
2020-04-15,-0.07653018002726811
2020-04-16,-0.07966934130026153
2020-04-17,-0.07998455959539814
2020-04-20,-0.08553711092662175
2020-04-21,-0.08459837307750791
2020-04-22,-0.08453059934942082
2020-04-23,-0.087737275520993
2020-04-24,-0.08906099910465472
2020-04-27,-0.09565044468120208
2020-04-28,-0.11434948992943827
2020-04-29,-0.111964951276205
2020-04-30,-0.1003549278320618
2020-05-06,-0.1038327348328919
2020-05-07,-0.1113538585083487
2020-05-08,-0.11329157513588514
2020-05-11,-0.11001941307837848
2020-05-12,-0.12445831955419162
2020-05-13,-0.13458481858990268
2020-05-14,-0.13679743141792464
2020-05-15,-0.13615407891963238
2020-05-18,-0.14029151788506172
2020-05-19,-0.14603338021597345
2020-05-20,-0.1410272147104169
2020-05-21,-0.14127332266605386
2020-05-22,-0.1355003279133275
2020-05-25,-0.14308664753606445
2020-05-26,-0.14918315299272983
2020-05-27,-0.1446209556158276
2020-05-28,-0.13704084128284313
2020-05-29,-0.1466292215047912
2020-06-01,-0.1490912254828773
2020-06-02,-0.13454896109070483
2020-06-03,-0.13736264980751348
2020-06-04,-0.14083620654162413
2020-06-05,-0.13911314604737549
2020-06-08,-0.14307456994146317
2020-06-09,-0.15119889535660894
2020-06-10,-0.16442551378665582
2020-06-11,-0.1598815787437527
2020-06-12,-0.16935633919963303
2020-06-15,-0.17803654978444222
2020-06-16,-0.18589331203210527
2020-06-17,-0.19569199798199732
2020-06-18,-0.1857326347897534
2020-06-19,-0.19167651166557742
2020-06-22,-0.19248732757682624
2020-06-23,-0.20376572022609485
2020-06-24,-0.20540724579013409
2020-06-29,-0.2173545610598351
2020-06-30,-0.2240887649453023
2020-07-01,-0.22165239774223972
2020-07-02,-0.20705782262742836
2020-07-03,-0.19521514770142767
2020-07-06,-0.17373493964415823
2020-07-07,-0.18735851865513492
2020-07-08,-0.1771878684993026
2020-07-09,-0.18517918229231817
2020-07-10,-0.19286472422003145
2020-07-13,-0.19204665902672538
2020-07-14,-0.18016017744424492
2020-07-15,-0.20067627311521435
2020-07-16,-0.17762434756230014
2020-07-17,-0.18789899947122712
2020-07-20,-0.166163516277754
2020-07-21,-0.1822345952886174
2020-07-22,-0.18765133805281006
2020-07-23,-0.20035574784976865
2020-07-24,-0.1825227705026298
2020-07-27,-0.18656659364997225
2020-07-28,-0.1898182644946311
2020-07-29,-0.1978728627922171
2020-07-30,-0.20029719145129304
2020-07-31,-0.2034297046743617
2020-08-03,-0.20053059358094558
2020-08-04,-0.1994078079926879
2020-08-05,-0.20072620746284167
2020-08-06,-0.18872428415839307
2020-08-07,-0.19047602489647025
2020-08-10,-0.1837510795510595
2020-08-11,-0.18792202857572587
2020-08-12,-0.16743358146373497
2020-08-13,-0.16080762789266362
2020-08-14,-0.16744398714612233
2020-08-17,-0.16427036047572022
2020-08-18,-0.16617834110343468
2020-08-19,-0.16226246257229257
2020-08-20,-0.1611286843371412
2020-08-21,-0.16862998820655498
2020-08-24,-0.1746619255243277
2020-08-25,-0.17966663334904112
2020-08-26,-0.1846912436571389
2020-08-27,-0.18151912359334213
2020-08-28,-0.19457593205476306
2020-08-31,-0.19503762355445808
2020-09-01,-0.18525342525594518
2020-09-02,-0.17938763306639063
2020-09-03,-0.18499227239151328
2020-09-04,-0.1635309317578469
2020-09-07,-0.14185398837841334
2020-09-08,-0.12416636335625927
2020-09-09,-0.11153721199438932
2020-09-10,-0.136574212288266
2020-09-11,-0.14488694931712084
2020-09-14,-0.13792270436336068
2020-09-15,-0.14679579445060745
2020-09-16,-0.1401773742886771
2020-09-17,-0.13922793064795866
2020-09-18,-0.13575404912514227
2020-09-21,-0.13177867062600737
2020-09-22,-0.14236733783029637
2020-09-23,-0.15128214222776973
2020-09-24,-0.15871222401631654
2020-09-25,-0.1630642573603724
2020-09-28,-0.16176597352629424
2020-09-29,-0.16233790881691215
2020-09-30,-0.1682642467854749
2020-10-09,-0.17107354858395127
2020-10-12,-0.1686997086254528
2020-10-13,-0.17234940240047839
2020-10-14,-0.18261481581674024
2020-10-15,-0.182410219749363
2020-10-16,-0.18518539798771652
2020-10-19,-0.17351941848290992
2020-10-20,-0.17634003724563263
2020-10-21,-0.1839865203932436
2020-10-22,-0.1798649929753104
2020-10-23,-0.16872489527740916
2020-10-26,-0.17747727155630383
2020-10-27,-0.18668255677942813
2020-10-28,-0.19230431285219435
2020-10-29,-0.2000645321246079
2020-10-30,-0.2016806237206445
2020-11-02,-0.2050624464967025
2020-11-03,-0.19724256971702875
2020-11-04,-0.1994012219791237
2020-11-05,-0.19689094940739463
2020-11-06,-0.1915876206111387
2020-11-09,-0.19008315316446675
2020-11-10,-0.1840322029275621
2020-11-11,-0.1762323589473092
2020-11-12,-0.17749054187138064
2020-11-13,-0.17408352042037084
2020-11-16,-0.16979602169893726
2020-11-17,-0.1650569592543416
2020-11-18,-0.1559110558643467
2020-11-19,-0.16153929930504657
2020-11-20,-0.1613853518213305
2020-11-23,-0.15701059100904521
2020-11-24,-0.14968683962345725
2020-11-25,-0.142257583551179
2020-11-26,-0.13972511248498076
2020-11-27,-0.13950191129596412
2020-11-30,-0.13502116383402288
2020-12-01,-0.13934423892182293
2020-12-02,-0.14322914588555602
2020-12-03,-0.1515078858391513
2020-12-04,-0.15776321201207927
2020-12-07,-0.15957264645188585
2020-12-08,-0.1629439000690941
2020-12-09,-0.16385277954126573
2020-12-10,-0.16546022535596439
2020-12-11,-0.16787971478956226
2020-12-14,-0.17795212903966467
2020-12-15,-0.19261051194763582
2020-12-16,-0.199477491685828
2020-12-17,-0.19990913314682043
2020-12-18,-0.19135697631282772
2020-12-21,-0.19269638247872145
2020-12-22,-0.20531960117031461
2020-12-23,-0.19671268578953996
2020-12-24,-0.19103087677679265
2020-12-25,-0.18367067933983
2020-12-28,-0.18800095973790124
2020-12-29,-0.18845984111492514
2020-12-30,-0.19214295147471241
2020-12-31,-0.1923369513703037
2021-01-04,-0.196740384146424
2021-01-05,-0.21550667508609733
2021-01-06,-0.22692477069745107
