mode,rank_ic,icir,ic_pos_ratio,n_days,monthly_rank_ic,monthly_icir,ic_retention_vs_raw
raw,-0.055002213747943146,-7.412262785219834,0.2837465564738292,726,-0.0661226186898067,-2.7316696547059913,1.0
size,-0.0522824306107959,-8.211384005730197,0.28512396694214875,726,-0.06325973101420426,-3.061716734306901,0.9505513878112051
industry,-0.04994299384817298,-8.621647573325786,0.2369146005509642,726,-0.06488437334957549,-3.079647614357579,0.9080178859171945
size_industry,-0.047478276359218606,-9.968679921394369,0.25068870523415976,726,-0.0629044903588391,-3.5829413643437933,0.8632066443142772
