universe,rank_ic,icir,n_days
ALL,-0.055002213747943146,-7.412262785219834,726
CSI300,-0.01894814915669224,-1.8275480293663862,726
CSI500,-0.02629956485789858,-3.064071939343477,726
CSI1000,-0.04038689737735058,-5.284235761979413,726
