label,stage,rank_ic,icir,gross_sharpe,gross_annu_ret,net_sharpe,net_annu_ret,mdd_net,daily_turnover,annu_one_way_turnover,implied_annu_fee,direction,n_days,rebalance_freq,top_frac,entry_frac,exit_frac,min_hold,weight_method,round_trip_cost
signed_proxy|best_e1|buffer_10_30,E2_buffer,0.032070489511693286,4.95552912030249,2.8860471069893023,0.3377945576247442,2.4680497767876455,0.2881227292297071,-0.05524998622247626,0.13245820905343259,16.557276131679075,0.02483591419751861,1,252,20,0.1,0.1,0.3,1,ew,0.0015
signed_proxy|best_e1_buffer_5_15,E4_combo,0.032070489511693286,4.95552912030249,2.8015039281747915,0.41171287435778225,2.407405201024863,0.35245592811363724,-0.06681562645257152,0.15801852331771993,19.752315414714992,0.029628473122072486,1,252,20,0.1,0.05,0.15,1,ew,0.0015
signed_proxy|best_e1|buffer_5_15,E2_buffer,0.032070489511693286,4.95552912030249,2.8015039281747915,0.41171287435778225,2.407405201024863,0.35245592811363724,-0.06681562645257152,0.15801852331771993,19.752315414714992,0.029628473122072486,1,252,20,0.1,0.05,0.15,1,ew,0.0015
signed_proxy|best_e1|buffer_10_20,E2_buffer,0.032070489511693286,4.95552912030249,2.7723297152997652,0.34558225834298745,2.3225777877594402,0.2887650628862,-0.05655142205679698,0.15151252121809944,18.93906515226243,0.028408597728393645,1,252,20,0.1,0.1,0.2,1,ew,0.0015
signed_proxy|best_e1|hold_5d,E2_hold,0.032070489511693286,4.95552912030249,2.6850603418193306,0.34939087027734683,2.193678509745935,0.2846535923319325,-0.05770648486622046,0.17263274118777186,21.579092648471484,0.032368638972707225,1,252,20,0.1,,,5,ew,0.0015
signed_proxy|every_20d,E1,0.032070489511693286,4.95552912030249,2.6850603418193306,0.34939087027734683,2.193678509745935,0.2846535923319325,-0.05770648486622046,0.17263274118777186,21.579092648471484,0.032368638972707225,1,252,20,0.1,,,1,ew,0.0015
signed_proxy|best_e1_plain,E4_combo,0.032070489511693286,4.95552912030249,2.6850603418193306,0.34939087027734683,2.193678509745935,0.2846535923319325,-0.05770648486622046,0.17263274118777186,21.579092648471484,0.032368638972707225,1,252,20,0.1,,,1,ew,0.0015
signed_proxy|best_e1|hold_10d,E2_hold,0.032070489511693286,4.95552912030249,2.6850603418193306,0.34939087027734683,2.193678509745935,0.2846535923319325,-0.05770648486622046,0.17263274118777186,21.579092648471484,0.032368638972707225,1,252,20,0.1,,,10,ew,0.0015
signed_proxy|best_e1|hold_1d,E2_hold,0.032070489511693286,4.95552912030249,2.6850603418193306,0.34939087027734683,2.193678509745935,0.2846535923319325,-0.05770648486622046,0.17263274118777186,21.579092648471484,0.032368638972707225,1,252,20,0.1,,,1,ew,0.0015
signed_proxy|daily_buffer_5_15,E4_combo,0.04539327593296699,7.017374372183443,2.982353158969258,0.418826598429542,1.9253891725928924,0.2701962036287659,-0.0695521081385424,0.3963477194687373,49.54346493359216,0.07431519740038824,1,252,1,0.1,0.05,0.15,1,ew,0.0015
signed_proxy|daily|buffer_5_15,E2_buffer,0.04539327593296699,7.017374372183443,2.982353158969258,0.418826598429542,1.9253891725928924,0.2701962036287659,-0.0695521081385424,0.3963477194687373,49.54346493359216,0.07431519740038824,1,252,1,0.1,0.05,0.15,1,ew,0.0015
signed_proxy|every_5d,E1,0.036550846226226556,5.699853431286079,2.7718518246677317,0.3605878687140205,1.7157606167627688,0.22148627094723342,-0.0693058194110631,0.37093759404476523,46.36719925559565,0.0695507988833935,1,252,5,0.1,,,1,ew,0.0015
signed_proxy|daily_buffer_10_20,E4_combo,0.04539327593296699,7.017374372183443,2.6122840706578634,0.3203798111510717,1.3915352442532039,0.17063246996008374,-0.06867279016312734,0.3993262431759683,49.91578039699604,0.07487367059549405,1,252,1,0.1,0.1,0.2,1,ew,0.0015
signed_proxy|daily|buffer_10_20,E2_buffer,0.04539327593296699,7.017374372183443,2.6122840706578634,0.3203798111510717,1.3915352442532039,0.17063246996008374,-0.06867279016312734,0.3993262431759683,49.91578039699604,0.07487367059549405,1,252,1,0.1,0.1,0.2,1,ew,0.0015
signed_proxy|daily|buffer_10_30,E2_buffer,0.04539327593296699,7.017374372183443,2.206383687267408,0.25229897351233754,1.2577536453138534,0.14384077707840492,-0.06456711490917133,0.2892218571571539,36.15273214464424,0.054229098216966365,1,252,1,0.1,0.1,0.3,1,ew,0.0015
signed_proxy|every_10d,E1,0.03102167307032851,4.681600501850314,1.93029385170828,0.2600269348802412,1.2110220856656142,0.16216462857647196,-0.07144965768664628,0.2609661501433847,32.62076876792309,0.04893115315188463,1,252,10,0.1,,,1,ew,0.0015
signed_proxy|daily,E1,0.04539327593296699,7.017374372183443,3.144430313518689,0.4344177732613275,0.9489131440084654,0.13118365943569846,-0.08287853504616603,0.8086243035350106,101.07803794187632,0.1516170569128145,1,252,1,0.1,,,1,ew,0.0015
signed_proxy|weekly_friday,E1,0.034463175232745655,5.391276697215974,2.0335973033048216,0.2620701052371911,0.9422081720500127,0.12332551868450371,-0.07548720978257022,0.3699855641404994,46.24819551756242,0.06937229327634364,1,252,friday,0.1,,,1,ew,0.0015
