signal,family,rank_ic,icir,hl_sharpe,hl_annu_ret,hl_mdd,monotonicity,daily_turnover,net_sharpe,direction,note
FlowDensity_raw,canonical,0.023560409520322182,4.8494659857405304,3.3807064279551793,0.2923475484740777,-0.09511624393058127,0.8787878787878788,0.4633406923259706,1.9240046858252975,1,size+ind net flow (confirmation signal)
Amount,liquidity_channel,-0.04748845018861428,-8.658415409618966,3.946344140680369,0.4664574390683106,-0.06895188849730562,-0.9999999999999999,0.14254508248715891,3.553719309280568,-1,size+ind amount/mktcap 20d
GrossActive,liquidity_channel,-0.04761283133805186,-8.666396642237386,3.9927787112350526,0.47203849703956907,-0.06922295391085553,-0.9999999999999999,0.1427461538543596,3.522838833894873,-1,size+ind gross active/mktcap 20d
Flow_perp_Amount,amount_orthogonal,-0.008764491613676678,-2.4889995246996035,0.12710199962111843,0.011360039949769394,-0.14266872406146186,0.3696969696969697,0.560708936893214,-2.1020573778773812,-1,ε from Flow_si ~ Amount_si (tradable residual panel)
Amount_perp_Flow,amount_orthogonal,-0.037139479557501506,-8.48925915852659,2.5253859751860537,0.2789414972833809,-0.09889939161977056,-0.8545454545454544,0.4459157257557898,0.6742454405619076,-1,ε from Amount_si ~ Flow_si (liquidity after removing flow)
Flow_perp_Amount_then_SI,amount_orthogonal_alt,-0.008532601220272457,-2.4215538913203387,0.07693211745339952,0.006851450275013252,-0.15379918739855103,0.38181818181818183,0.559646977047241,-2.0721366190721033,-1,"ε from Flow~Amount in raw space, then size+ind"
