signal,family,rank_ic,icir,hl_sharpe,hl_annu_ret,hl_mdd,daily_turnover,net_sharpe,direction,note
active_buy_mktcap_20d,component,-0.04761835929651527,-8.726387655230482,3.839223356706139,0.45757578663885834,-0.0672212035768459,0.14923783041724187,3.429626075140162,-1,size+industry
active_sell_mktcap_20d,component,-0.04733986298751715,-8.587694383808786,4.080516064915914,0.47852735717731026,-0.06942354365563579,0.1410401483513479,3.6186624711213393,-1,size+industry
net_active_flow_mktcap_20d,canonical,0.023560409520322182,4.8494659857405304,3.3807064279551793,0.2923475484740777,-0.09511624393058127,0.4633406923259706,1.9240046858252975,1,size+industry
gross_active_mktcap_20d,component,-0.04761283133805186,-8.666396642237386,3.9927787112350526,0.47203849703956907,-0.06922295391085553,0.1427461538543596,3.522838833894873,-1,size+industry
amount_mktcap_20d,component,-0.04748845018861428,-8.658415409618966,3.946344140680369,0.4664574390683106,-0.06895188849730562,0.14254508248715891,3.553719309280568,-1,size+industry
amount_eod_mktcap_20d,component,-0.04735240280560162,-8.660724831650434,3.6863866021245695,0.43775727300511813,-0.06838258540410082,0.14201059543461084,3.5579476678960713,-1,size+industry
volume_mktcap_20d,component,-0.0251606943466441,-4.9913694083413835,2.7996457970552795,0.3039050356080972,-0.17373411788591958,0.1244746579003595,2.247522447097335,-1,size+industry
active_buy_share_20d,component,0.0035756945252491037,0.881920825353566,1.1814325798786778,0.08495957018129106,-0.10926894454533044,0.6059150014558894,-1.3444761484576961,1,size+industry
net_size_resid,style_residual,0.02714052213618111,4.410703526191982,2.9473846028392785,0.3152348278690385,-0.10293378995474607,0.47440550958466643,1.6055996006108137,1,Flow ⊥ size
net_size_industry_resid,style_residual,0.023560409520322182,4.8494659857405304,3.3807064279551793,0.2923475484740777,-0.09511624393058127,0.4633406923259706,1.9240046858252975,1,Flow ⊥ size+industry (same as confirmation)
net_active_flow_mktcap_20d|raw,canonical_raw,0.017830598196350737,2.073504690019563,1.5150216978697788,0.23378045118199148,-0.19031688095930926,0.5147826158378662,0.11363882688586885,1,raw cs_z
