,value
n_days,242.0
n_symbols,1053.0
coverage_cell,0.003504351989200474
mean_names_per_day,3.690082644628099
median_names_per_day,0.0
pct_days_ge_1,0.28512396694214875
pct_days_ge_50,0.02066115702479339
n_event_cells,893.0
