Date,rank_ic
2020-01-03,-0.018128270620058676
2020-01-06,0.01902326228203386
2020-01-07,-0.11028453281547766
2020-01-08,0.08554265952047425
2020-01-09,-0.15343474850526775
2020-01-10,-0.11829856875370853
2020-01-13,-0.056585407299217634
2020-01-14,-0.008202919184405584
2020-01-15,-0.05095576517639675
2020-01-16,-0.03969145990722904
2020-01-17,-0.018697074232631287
2020-01-20,-0.04027622386332888
2020-01-21,-0.013465449605926844
2020-01-22,-0.17011429389372576
2020-01-23,0.11841280721678886
2020-02-03,0.04748450066532916
2020-02-04,-0.1740062260278275
2020-02-05,-0.0006897280371382918
2020-02-06,-0.06291324394983484
2020-02-07,-0.13321108539114115
2020-02-10,-0.017046474679627943
2020-02-11,-0.043601923778051214
2020-02-12,-0.09617154287881166
2020-02-13,-0.06022096316876931
2020-02-14,-0.1029247403786514
2020-02-17,-0.1508745420117198
2020-02-18,-0.14290878890424397
2020-02-19,-0.05297156362108968
2020-02-20,-0.13487264539160812
2020-02-21,-0.13293010056830815
2020-02-24,-0.05381180169916237
2020-02-25,0.15196537201940183
2020-02-26,-0.11191575749612073
2020-02-27,-0.09283010911346527
2020-02-28,0.20926409588231867
2020-03-02,-0.06757377095019801
2020-03-03,-0.04829994259735199
2020-03-04,-0.040440603853017364
2020-03-05,-0.06883161068165825
2020-03-06,-0.0040215710614452645
2020-03-09,0.12935205316526602
2020-03-10,-0.142563148760838
2020-03-11,0.0133445729886773
2020-03-12,-0.009778755242367343
2020-03-13,-0.07260831728706195
2020-03-16,0.12512926469327404
2020-03-17,-0.06942172868815648
2020-03-18,-0.03234783808577931
2020-03-19,0.004455453136629718
2020-03-20,0.025531855339541755
2020-03-23,-0.02140084682623358
2020-03-24,-0.008465657502005898
2020-03-25,0.011237171785081563
2020-03-26,0.0003508436717720755
2020-03-27,0.027737992467035302
2020-03-30,0.06726003390197055
2020-03-31,-0.04259475112129699
2020-04-01,-0.07359971174938734
2020-04-02,-0.14355479217687034
2020-04-03,0.04940470204843776
2020-04-07,-0.013565724854264443
2020-04-08,0.049963071823405696
2020-04-09,-0.015642384164737698
2020-04-10,-0.01495940904181605
2020-04-13,0.0008842649947002581
2020-04-14,-0.1091599064665941
2020-04-15,-0.08218032895563805
2020-04-16,-0.06750928367297589
2020-04-17,-0.0813455373513554
2020-04-20,-0.0578461509843739
2020-04-21,0.03136537026205287
2020-04-22,-0.03155732494777543
2020-04-23,0.007869905381618948
2020-04-24,-0.0028635166464840403
2020-04-27,-0.023594934544443686
2020-04-28,-0.0634779553047871
2020-04-29,-0.024785756770975807
2020-04-30,-0.10488001794697535
2020-05-06,-0.08647195000078936
2020-05-07,-0.02331137595125449
2020-05-08,-0.044406446330672325
2020-05-11,0.007396834067859052
2020-05-12,-0.07386123921139545
2020-05-13,-0.0015231340571094936
2020-05-14,0.0017890631515074874
2020-05-15,-0.04592281765956965
2020-05-18,-0.015011887895294933
2020-05-19,-0.08073474445924113
2020-05-20,0.027624587364926383
2020-05-21,0.042890234650971706
2020-05-22,0.03797328663850914
2020-05-25,0.01814708145868889
2020-05-26,-0.12334056536460827
2020-05-27,0.06880269679365401
2020-05-28,0.007225639279855488
2020-05-29,-0.023013559038424593
2020-06-01,-0.12126457385983572
2020-06-02,0.033186647263465374
2020-06-03,-0.014129513369202887
2020-06-04,-0.018170629361504088
2020-06-05,-0.038373645644568716
2020-06-08,0.0004736339128790175
2020-06-09,-0.06895315741638598
2020-06-10,-0.08064951689895777
2020-06-11,-0.0320834877604566
2020-06-12,-0.05242162773487334
2020-06-15,0.014934436580050947
2020-06-16,-0.06712667188263831
2020-06-17,0.019994463564422714
2020-06-18,-0.008478381975747067
2020-06-19,-0.1139825469959271
2020-06-22,-0.05506549839443489
2020-06-23,-0.09301534660883726
2020-06-24,-0.04688280888212007
2020-06-29,-0.046322587314826295
2020-06-30,-0.05731582126435176
2020-07-01,0.017457847039497792
2020-07-02,0.09331340764122728
2020-07-03,0.11539291178705542
2020-07-06,0.1537211784429709
2020-07-07,-0.26339384021399725
2020-07-08,0.11968897576645442
2020-07-09,-0.08525089428497705
2020-07-10,-0.13921077508218765
2020-07-13,-0.1205357824591381
2020-07-14,0.031627539258729714
2020-07-15,-0.07341732907973028
2020-07-16,0.009849687642962145
2020-07-17,0.05840026280951861
2020-07-20,-0.062945898114246
2020-07-21,-0.05577701426091375
2020-07-22,0.0019593493607335606
2020-07-23,-0.003344252632294508
2020-07-24,-0.006617276362316234
2020-07-27,-0.004060484860425734
2020-07-28,-0.05068843301095474
2020-07-29,-0.06281731209691968
2020-07-30,-0.009886217632641714
2020-07-31,-0.10007842434486904
2020-08-03,-0.008792124004338582
2020-08-04,0.0008560249089757079
2020-08-05,-0.008222980738462804
2020-08-06,0.00531364636925527
2020-08-07,-0.03416909307274902
2020-08-10,0.0382257751365391
2020-08-11,0.007599791013569919
2020-08-12,0.09073091640769662
2020-08-13,0.01502980184906847
2020-08-14,-0.12833791846491968
2020-08-17,-0.10646866055633807
2020-08-18,-0.0038677594625822617
2020-08-19,0.08631748501763373
2020-08-20,-0.015122536766075272
