horizon,gross_sharpe_proxy,net_sharpe_proxy,daily_turnover_proxy,net_sharpe_nonoverlap,net_annu_ret_nonoverlap,n_rebalances,rank_ic
1,3.276328361001429,0.9075844373271466,0.7467752286779833,0.9075844373271466,0.1072844593571587,1212,0.023891814181455227
3,3.8843486411002464,2.507241021415557,0.2489250762259945,1.457508075241069,0.17374149412709092,404,0.026232217617828988
5,4.336297700743063,3.257355821674629,0.14935504573559666,1.4027839311444423,0.16196071684489657,243,0.026984010313889816
10,5.820103735815689,4.993840606713329,0.07467752286779833,1.6560432754471441,0.18469956200180127,122,0.0309819103466336
20,7.582410108529783,6.994835580611243,0.037338761433899165,1.3507179328837942,0.1353685780924877,61,0.04029655302775074
