q,mean_ret,n_days,mean_n
1,0.0012229105673720532,726,508.03856749311296
2,0.001161203891187478,726,507.52479338842977
3,0.0010977937453888998,726,507.4600550964187
4,0.0010304751605912724,726,507.5082644628099
5,0.0009085433986231133,726,507.6528925619835
6,0.0006307560243054132,726,507.3374655647383
7,0.0003838579742465639,726,507.40909090909093
8,-1.3875146395350014e-05,726,507.55922865013775
9,-0.00022770933126622158,726,507.43939393939394
10,0.0005312166997119952,726,507.93250688705234
