label,a,b,icir_a,icir_b,icir_composite,beats_max_single,uplift_vs_max,cs_corr
A_TGD_FlowRaw,TGD20,FlowDensity_raw,11.281222814092933,4.846912963196787,8.49536893906086,False,-2.785853875032073,0.2173612563555534
B_TGD_FlowPerp,TGD20,Flow_perp_Amount,11.281222814092933,-2.487689180031426,5.775694838110509,False,-5.5055279759824245,0.006473475801422683
C_TGD_Amount,TGD20,Amount,11.281222814092933,-8.653857149018963,-0.4824712068263685,False,-11.763694020919301,-0.32326970122900983
X_FlowRaw_Amount,FlowDensity_raw,Amount,4.846912963196787,-8.653857149018963,-6.448667387258601,False,-11.295580350455388,-0.6165748367586112
