,TGD20,FlowDensity_raw,Flow_perp_Amount,Amount
TGD20,1.0,0.2173612563555534,0.006473475801422683,-0.32326970122900983
FlowDensity_raw,0.2173612563555534,1.0,0.6691390779311915,-0.6165748367586112
Flow_perp_Amount,0.006473475801422683,0.6691390779311915,1.0,0.026499288816103635
Amount,-0.32326970122900983,-0.6165748367586112,0.026499288816103635,1.0
