knife,family,raw_ic,raw_icir,closest_peer,abs_corr_to_peer,resid_ic_vs_peer,resid_t_vs_peer,independent
volume,participation,-0.036574235244476,-6.247075260995257,amount,0.9180422165158866,-0.0219549629952822,-16.069126598916107,False
amount,participation,-0.0363209336666336,-6.335633043961068,volume,0.9180422165158866,-0.0205250042538318,-16.98536422262193,False
turnover_proxy,participation,-0.0355979653442024,-6.198051667853001,amount,0.929,-0.0197498750892579,-15.29924836543791,False
ats_trade_count,trader_structure,-0.0337956443430201,-6.483878973616674,amount,0.367,-0.0220035378629542,-14.845850863308543,True
