knife,amount,ats_trade_count,turnover_proxy,volume
amount,,-13.790517373074533,-16.440430818695347,-16.98536422262193
ats_trade_count,-14.845850863308545,,-15.037166871681025,-14.931871875384232
turnover_proxy,-15.29924836543791,-13.18555065356375,,-16.48975839978097
volume,-16.069126598916107,-13.604666795871225,-16.682392394473148,
