knife,amount,ats_trade_count,turnover_proxy,volume
amount,,-0.02574873993689779,-0.020652051788273243,-0.02052500425383182
ats_trade_count,-0.022003537862954278,,-0.02320874757656669,-0.022472291908768066
turnover_proxy,-0.019749875089257976,-0.02513204834194899,,-0.02720309281076643
volume,-0.02195496299528225,-0.026378284691934373,-0.029604297944561566,
