group,mean_daily_return
G1,0.00011675738288647142
G2,0.00030919332025965244
G3,0.00045395189165987703
G4,0.0004884141674001912
G5,0.0005268904284246319
G6,0.0005509887400970522
G7,0.0005554510963808857
G8,0.0006437280148578709
G9,0.0007470531232181039
G10,0.0007009365502213432
