factor,mean_rank_ic,icir_annualized,positive_ic_ratio,n_days
AlphaSKEW20,0.01988156035944118,4.034398052412757,0.6059147180192572,1454
AlphaSKEW60,0.021299168718195725,4.035718144449627,0.6196698762035764,1454
AlphaSKEW120,0.019214814995861657,3.701857223133912,0.6162310866574966,1454
AlphaIdioSKEW60,0.016408261110952754,4.11281044808307,0.6038514442916093,1454
AlphaIdioSKEW120,0.014485114943420311,3.620096763228909,0.5969738651994498,1454
