name,n_days,annu_ret,volatility,sharpe,max_drawdown,win_rate,mean_daily,hold_days,avg_turnover,annu_turnover,cost_type
bottom10,855,-0.20549290559569594,0.2867486817885502,-0.7166306896825679,-0.6914214224208299,0.43508771929824563,-0.0008219716223827838,1,0.8873684210526268,221.8421052631567,net
top10,855,-0.16357922660966423,0.3740668959118946,-0.43729939322990147,-0.6158388222239763,0.43625730994152045,-0.0006543169064386569,1,0.8839766081871295,220.99415204678238,net
long_short,855,-0.48390198307959914,0.34745555390999133,-1.392701822245024,-0.8699552855934158,0.43157894736842106,-0.0019356079323183965,1,1.771345029239764,442.83625730994095,net
bottom10,855,-0.0565861601152479,0.264954552551812,-0.21356930677453614,-0.5113306817482158,0.45730994152046783,-0.0002263446404609916,5,0.18072124756335342,45.180311890838354,net
top10,855,-0.015162337043867479,0.2926190758176862,-0.05181595561225216,-0.45201227903852864,0.45497076023391814,-6.0649348175469916e-05,5,0.1792534113060439,44.81335282651098,net
long_short,855,-0.13103883281796896,0.15923668088598705,-0.8229186396555974,-0.4388896901808046,0.4269005847953216,-0.0005241553312718758,5,0.35992787524366493,89.98196881091623,net
bottom10,855,-0.037062249006441346,0.25679823123238404,-0.14432439362443528,-0.4685239157294411,0.4456140350877193,-0.00014824899602576539,10,0.09122658498097122,22.806646245242806,net
top10,855,-0.012933744971204865,0.27469604890291466,-0.04708384056800182,-0.466806979197043,0.447953216374269,-5.173497988481946e-05,10,0.09073967325721762,22.684918314304404,net
long_short,855,-0.06945965598919537,0.1123978089985503,-0.6179805158843554,-0.25348656216453264,0.4631578947368421,-0.0002778386239567815,10,0.1818115195395897,45.45287988489743,net
bottom10,855,-0.004179977658616379,0.2472437068680934,-0.016906305570181537,-0.40230065648096247,0.45380116959064326,-1.6719910634465516e-05,20,0.047565309458444095,11.891327364611024,net
top10,855,0.032929752716533874,0.2681914765362045,0.12278448644913784,-0.41129644247436176,0.4584795321637427,0.0001317190108661355,20,0.04724114853547003,11.810287133867508,net
long_short,855,-0.060638110137435405,0.08389874014580342,-0.7227535244516838,-0.26062729060647116,0.45263157894736844,-0.00024255244054974162,20,0.09443767997211583,23.609419993028958,net
