name,n_days,annu_ret,volatility,sharpe,max_drawdown,win_rate,mean_daily
bear,77,-0.37357363807895533,0.11067858223963101,-3.375301982728043,-0.11339639632609863,0.37662337662337664,-0.0014942945523158213
bull,160,-0.23195239928444994,0.21615817313546778,-1.0730679109648276,-0.2021874087729129,0.45625,-0.0009278095971377997
sideways,618,-0.07469360524558581,0.14660756563787028,-0.5094798820279413,-0.23870164671085548,0.4255663430420712,-0.00029877442098234325
