Date,bottom10_gross,top10_gross,long_short_gross,bottom10_net,top10_net,long_short_net,csi300
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.00420117212531812
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0012985161755223462
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.019427566417087982
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.003102017745297392
2023-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.008096382898211019
2023-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0010849664186434183
2023-01-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018526070251561055
2023-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0019546732171065173
2023-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.014064171128318481
2023-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.015606581540854814
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017450609711644471
2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016745212547623067
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.00622068882263993
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.006140267738194982
2023-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.004739489048342094
2023-01-31,0.0,0.0,0.0,0.0,0.0,0.0,-0.010588799539195337
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.00940022533366447
2023-02-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035233878365843463
2023-02-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.009451324782877246
2023-02-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.013220392666958292
2023-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.001799809091433735
2023-02-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.0044189956435068956
2023-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.013423333161847628
2023-02-10,0.0,0.0,0.0,0.0,0.0,0.0,-0.005942302764571972
2023-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.009074887848814717
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.00041418350438560125
2023-02-15,0.0,0.0,0.0,0.0,0.0,0.0,-0.005210950007794479
2023-02-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.007323951394689221
2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.014408398354498475
2023-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.024534001304248543
2023-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0026282877305414676
2023-02-22,0.0,0.0,0.0,0.0,0.0,0.0,-0.009025050372149734
2023-02-23,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008045628793293957
2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,-0.010381157849788436
2023-02-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.004235682449966083
2023-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.00633414579453162
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.014125416729256823
2023-03-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.002230174573591648
2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.00311180578597825
2023-03-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.005215066569927429
2023-03-07,0.0021428722345376073,0.005206766484670189,-0.0030638942501325806,0.0016428722345376073,0.004706766484670189,-0.004063894250132581,-0.014640581812135567
2023-03-08,-0.016241178408760253,-0.013015938538501517,-0.0032252398702587335,-0.016741178408760254,-0.013515938538501518,-0.0042252398702587336,-0.003641575529102492
2023-03-09,0.0032644211102973914,0.003769368346611497,-0.0005049472363141059,0.002931087776964058,0.003469368346611497,-0.0011216139029807724,-0.0035341644448412257
2023-03-10,-0.008920440116474962,-0.004070419581497077,-0.004850020534977883,-0.009153773449808295,-0.004312086248163744,-0.00531668720164455,-0.013113746394299963
2023-03-13,-0.008409926822947125,-0.006299689313895396,-0.002110237509051725,-0.008599926822947124,-0.006479689313895395,-0.0024652375090517247,0.010473754461405749
2023-03-14,0.01456679300351639,0.016338588508672622,-0.001771795505156235,0.01438679300351639,0.016158588508672623,-0.0021317955051562347,-0.005984604431477081
2023-03-15,0.0012753724314247857,0.009950820054665684,-0.0086754476232409,0.001095372431424786,0.009750820054665684,-0.0090554476232409,0.0005537185826691715
2023-03-16,-0.016809002000055192,-0.014553216260869695,-0.002255785739185499,-0.01700900200005519,-0.014753216260869695,-0.0026557857391854988,-0.01197709399428426
2023-03-17,-0.0031742477013415155,0.0032596860464586385,-0.006433933747800156,-0.0033742477013415156,0.0030596860464586384,-0.006833933747800156,0.004993183174900162
2023-03-20,-0.006960666781276821,0.016671907375408284,-0.023632574156685113,-0.0071406667812768205,0.016491907375408284,-0.023992574156685112,-0.004986941308815385
2023-03-21,0.0010070209642185188,-0.00554907751224262,0.006556098476461141,0.0008070209642185189,-0.00574907751224262,0.006156098476461141,0.010992727484128828
2023-03-22,0.014985793285616807,0.0017824674935321353,0.013203325792084669,0.014785793285616806,0.0016024674935321355,0.012823325792084669,0.004285002363662915
2023-03-23,-0.006423699754410694,0.011388290925464152,-0.017811990679874847,-0.006623699754410694,0.011208290925464152,-0.018191990679874846,0.009913081140029867
2023-03-24,0.02008598826709311,0.03625288935758489,-0.016166901090491785,0.01992598826709311,0.03605288935758489,-0.016526901090491784,-0.0029818106283606705
2023-03-27,-0.0047107119983898415,0.019274016116163206,-0.02398472811455305,-0.004870711998389841,0.019074016116163207,-0.02434472811455305,-0.003617689265358992
2023-03-28,0.002408500647792734,-0.009880091974589373,0.012288592622382109,0.002208500647792734,-0.010000091974589374,0.011968592622382108,-0.003230523110025918
2023-03-29,-0.008958006363959046,-0.021889346695762014,0.01293134033180297,-0.009158006363959047,-0.022069346695762014,0.01255134033180297,0.0016575260993538787
2023-03-30,0.006902007692296613,0.010746591359601872,-0.003844583667305259,0.0067020076922966135,0.010546591359601872,-0.004244583667305259,0.00808300949741203
2023-03-31,0.0019534517821436677,-0.006499103495871121,0.008452555278014789,0.0017734517821436679,-0.006679103495871121,0.00809255527801479,0.003070427408695009
2023-04-03,0.022871576216311803,0.028601634883308677,-0.005730058666996865,0.022671576216311804,0.028401634883308678,-0.006130058666996866,0.009785886717201375
2023-04-04,0.022850407656206287,0.02321320249403231,-0.00036279483782601397,0.022650407656206288,0.02311320249403231,-0.0006627948378260138,0.0030650025194547403
2023-04-06,0.008041437748434367,-0.0030649965380183026,0.011106434286452669,0.007841437748434366,-0.0032249965380183026,0.01074643428645267,-0.0015756846790083712
2023-04-07,0.00593445600768719,0.01219598422197752,-0.006261528214290333,0.00573445600768719,0.01201598422197752,-0.006641528214290333,0.006502865763162058
2023-04-10,0.021078054067568276,0.008912480046894987,0.012165574020673272,0.020898054067568277,0.008732480046894987,0.011805574020673273,-0.0044789828602225246
2023-04-11,-0.017335496120524638,-0.037883718118582495,0.02054822199805787,-0.017535496120524637,-0.038083718118582494,0.02014822199805787,-0.0011362031262920347
2023-04-12,0.004488090142190716,0.004534560474407676,-4.6470332216960166e-05,0.004288090142190716,0.004334560474407677,-0.00044647033221695997,-0.0006976089813736097
2023-04-13,0.0006553093060156139,0.0007953352865507578,-0.0001400259805351434,0.000455309306015614,0.0006353352865507578,-0.0005000259805351433,-0.0069092050067462996
2023-04-14,-0.013745230403899269,-0.015900304928294612,0.002155074524395343,-0.01394523040389927,-0.016060304928294612,0.0017950745243953431,0.005657488589396742
2023-04-17,-0.0008610635646917821,-0.00024690011793687466,-0.0006141634467549074,-0.0010410635646917819,-0.00044690011793687464,-0.0009941634467549073,0.014023660026488916
2023-04-18,0.002726067401543544,0.004510068125606452,-0.001784000724062907,0.002546067401543544,0.0043100681256064526,-0.002164000724062907,0.0030482599873389304
2023-04-19,0.010812432721305226,0.008394161103994517,0.002418271617310708,0.010632432721305226,0.008214161103994517,0.002058271617310708,-0.009003558838567405
2023-04-20,-0.00457369472460344,-0.010939779049526518,0.0063660843249230825,-0.00475369472460344,-0.011079779049526518,0.0060460843249230825,-0.002797802208619249
2023-04-21,0.008551012019292306,0.002777040062043199,0.005773971957249113,0.008351012019292305,0.0025770400620431988,0.005373971957249112,-0.019560326876178924
2023-04-24,-0.029547415230783757,-0.028910041677092643,-0.0006373735536911044,-0.029747415230783756,-0.029110041677092642,-0.001037373553691104,-0.01238027725861579
2023-04-25,-0.02145727361550415,-0.00659782220378239,-0.01485945141172176,-0.02165727361550415,-0.00679782220378239,-0.01525945141172176,-0.005016040981228764
2023-04-26,-0.026427739260731244,-0.018917040101591155,-0.007510699159140096,-0.026627739260731243,-0.019117040101591154,-0.007910699159140095,-0.0008664621679678186
2023-04-27,0.00824863985023319,-0.02895590952386289,0.037204549374096084,0.00806863985023319,-0.029155909523862888,0.036824549374096086,0.007371681626258786
2023-04-28,-0.01004971329695983,-0.006600589418999418,-0.003449123877960411,-0.01024971329695983,-0.006800589418999418,-0.003849123877960411,0.010196347248915716
2023-05-04,0.02671345261458217,0.01805301582592872,0.008660436788653452,0.02653345261458217,0.01787301582592872,0.008300436788653453,0.00028822915610282607
2023-05-05,-0.005477152301570969,0.009835655749926024,-0.015312808051496995,-0.005677152301570968,0.009635655749926024,-0.015712808051496996,-0.0033173400211615744
2023-05-08,-0.0058538452545804105,-0.00552653865343109,-0.0003273066011493214,-0.00605384525458041,-0.005706538653431089,-0.0007073066011493212,0.01139815718547954
2023-05-09,0.00818443539797962,0.029489813014492362,-0.021305377616512737,0.00798443539797962,0.029289813014492364,-0.021705377616512738,-0.00856261155246374
2023-05-10,-0.010290721964578002,-0.01646001190557439,0.006169289940996381,-0.010490721964578002,-0.01666001190557439,0.005769289940996381,-0.007697829977560855
2023-05-11,-0.003926976621921283,-0.018956224555230692,0.015029247933309405,-0.004106976621921283,-0.01913622455523069,0.014669247933309405,-0.0015526651545665349
2023-05-12,-0.010670570076557815,-0.014768015317888685,0.004097445241330869,-0.010870570076557815,-0.014968015317888685,0.0036974452413308695,-0.013256316236319288
2023-05-15,-0.015965093605918863,-0.012114735556239813,-0.0038503580496790533,-0.016145093605918863,-0.012314735556239813,-0.0042303580496790534,0.015522775854773574
2023-05-16,0.009218210905959265,0.01706504092214335,-0.007846830016184086,0.009058210905959265,0.016865040922143353,-0.008206830016184085,-0.005171888819469617
2023-05-17,-0.018406236963980478,-0.012517577423697341,-0.005888659540283141,-0.018586236963980478,-0.012697577423697341,-0.006248659540283141,-0.004534808584795491
2023-05-18,0.012527892236736783,-0.0037723171807904497,0.01630020941752723,0.012347892236736784,-0.00395231718079045,0.015940209417527232,-0.0010340225722917928
