name,n_days,annu_ret,volatility,sharpe,max_drawdown,win_rate,mean_daily,hold_days,avg_turnover,annu_turnover,cost_type
bottom10,855,0.016349199667462115,0.2867814537259426,0.0570092642151327,-0.5170568404883831,0.4584795321637427,6.539679866984846e-05,1,0.8873684210526268,221.8421052631567,gross
top10,855,0.05741492543711982,0.3740590652467691,0.15349160272119813,-0.446763829326138,0.4631578947368421,0.00022965970174847926,1,0.8839766081871295,220.99415204678238,gross
long_short,855,-0.041065725769657606,0.34738443407195846,-0.11821406413722929,-0.5217243401771768,0.4853801169590643,-0.0001642629030786304,1,1.771345029239764,442.83625730994095,gross
bottom10,855,-0.011405848224409819,0.2649605581882439,-0.043047343734483,-0.47776618215987793,0.4608187134502924,-4.5623392897639275e-05,5,0.18072124756335342,45.180311890838354,gross
top10,855,0.029651015782643182,0.29263020343505886,0.10132588992722824,-0.41466880045056126,0.4608187134502924,0.00011860406313057273,5,0.1792534113060439,44.81335282651098,gross
long_short,855,-0.041056864007052975,0.15919507596246107,-0.25790285132144647,-0.26538521393010556,0.44912280701754387,-0.0001642274560282119,5,0.35992787524366493,89.98196881091623,gross
bottom10,855,-0.014255602761198553,0.2567863191034225,-0.05551542936933883,-0.45050650158795,0.447953216374269,-5.7022411044794214e-05,10,0.09122658498097122,22.806646245242806,gross
top10,855,0.009751173343099365,0.2746827242923389,0.035499769300094026,-0.448835104534178,0.44912280701754387,3.900469337239746e-05,10,0.09073967325721762,22.684918314304404,gross
long_short,855,-0.02400677610429796,0.11237398194062809,-0.21363286847823681,-0.18934429462616378,0.47017543859649125,-9.602710441719183e-05,10,0.1818115195395897,45.45287988489743,gross
bottom10,855,0.007711349705994658,0.24723302958471827,0.031190612835783102,-0.392186319231765,0.45497076023391814,3.084539882397863e-05,20,0.047565309458444095,11.891327364611024,gross
top10,855,0.044740039850401356,0.2681868689901208,0.16682412535286895,-0.4014626803573367,0.4584795321637427,0.00017896015940160542,20,0.04724114853547003,11.810287133867508,gross
long_short,855,-0.03702869014440654,0.08385463891437331,-0.44158189247249324,-0.21050862753954835,0.45964912280701753,-0.00014811476057762616,20,0.09443767997211583,23.609419993028958,gross
