group,mean_daily_return,ann_return,sharpe,max_drawdown,calmar,n_days,note
G1,0.00011675738288646785,0.029189345721616963,0.11809828794771383,-0.5199495813032765,0.05613880032070145,1454,Alpha low=G1 (high/pos skew)
G2,0.0003091933202596486,0.07729833006491214,0.3168280052667827,-0.44029189135180696,0.17556155719240435,1454,
G3,0.00045395189165987193,0.11348797291496798,0.46672312354925316,-0.3905710814875865,0.290569318349738,1454,
G4,0.0004884141674001861,0.12210354185004653,0.5013905005624697,-0.35142515119105583,0.3474524843660484,1454,
G5,0.0005268904284246287,0.13172260710615719,0.5399607096762179,-0.34317012076684367,0.3838405476904909,1454,
G6,0.0005509887400970487,0.13774718502426217,0.5639522288277062,-0.34079628457101063,0.4041921560197063,1454,
G7,0.0005554510963808823,0.13886277409522058,0.5671642854640151,-0.348679725689551,0.3982530782958624,1454,
G8,0.0006437280148578661,0.16093200371446653,0.6580436651879136,-0.3194593539005851,0.5037636298624336,1454,
G9,0.0007470531232180984,0.1867632808045246,0.7676686002823029,-0.3147336036864337,0.5934011450223001,1454,
G10,0.0007009365502213372,0.17523413755533432,0.7260246037523531,-0.36289653006752864,0.4828763105635822,1454,Alpha high=G10 (low skew / neg skew)
H-L,0.0005841791673348635,0.14604479183371588,2.483606012237411,-0.05138098281839401,2.8423900015675243,1454,
