label,n_days,mean_rank_ic,ic_std,icir_annualized,positive_ic_ratio,t_stat,hl_ann_return,hl_sharpe,hl_max_drawdown,avg_turnover,direction,decile_mono_corr,ic_retention_vs_raw,icir_retention_vs_raw
raw,1454,0.0203109866871873,0.0650126338370643,4.939730608195438,0.6279229711141678,11.912844253521213,0.1600999129128804,1.8073268579966435,-0.1243355930160059,0.2980022907954167,1,0.91438407159293,1.0,1.0
size,1454,0.0203136224721597,0.0554451745266524,5.792867917651357,0.6334250343878954,13.97030298974353,0.1591657324503743,2.275083479939122,-0.0458022654182873,0.3009306160180764,1,0.92005216915057,1.0001297713898885,1.1727092785263413
industry,1454,0.0189267226964677,0.051695867391046,5.788814017811444,0.6623108665749656,13.960526449028508,0.1522187310576749,1.9549966395432627,-0.1144439127663681,0.3121941975599673,1,0.9510824512044443,0.9318465413798518,1.1718886062748652
size_industry,1454,0.0187766650121016,0.0418067010483611,7.101376909834183,0.6808803301237965,17.12595358379497,0.1460447918337178,2.48360601223742,-0.0513809828183941,0.313558166335261,1,0.9342292350207204,0.9244585357316201,1.4376040867597897
