label,n_days,mean_rank_ic,ic_std,icir_annualized,positive_ic_ratio,t_stat,factor,mode,hl_ann_return,hl_sharpe,hl_max_drawdown,avg_turnover,direction,mono_corr
AlphaIdioSKEW60|raw,1454,0.02031098668718731,0.0650126338370643,4.939730608195438,0.6279229711141678,11.912844253521213,AlphaIdioSKEW60,raw,0.16009991291288048,1.8073268579966435,-0.12433559301600591,0.2980022907954167,1,0.9143840715929301
AlphaIdioSKEW60|size_industry,1454,0.018776665012101693,0.0418067010483611,7.101376909834183,0.6808803301237965,17.12595358379497,AlphaIdioSKEW60,size_industry,0.1460447918337178,2.48360601223742,-0.051380982818394184,0.31355816633526107,1,0.9342292350207204
AlphaVolAdj_IdioSKEW60|raw,1454,0.007282188369558779,0.06516761129097805,1.7668517490514348,0.5453920220082531,4.261007608510161,AlphaVolAdj_IdioSKEW60,raw,0.06198473095305841,0.8633966836042014,-0.11367110109902043,0.3425093181945044,1,0.5765075487818697
AlphaVolAdj_IdioSKEW60|size_industry,1454,0.0067329452430208376,0.038022045037456695,2.7998812673235873,0.5749656121045392,6.752301311864946,AlphaVolAdj_IdioSKEW60,size_industry,0.05406913390758062,1.2534467851355713,-0.07744399616508263,0.3551475750112628,1,0.5329407186350941
AlphaVolResid_IdioSKEW60|raw,1454,0.014618047864046729,0.06198950229894175,3.728560843481414,0.6024759284731774,8.991940682854015,AlphaVolResid_IdioSKEW60,raw,0.10787513694900785,1.3247074038217308,-0.12115847012371819,0.320088649301491,1,0.7271047864951447
AlphaVolResid_IdioSKEW60|size_industry,1454,0.01378958200086477,0.04038444647491665,5.3989209845279476,0.6368638239339752,13.020245419667669,AlphaVolResid_IdioSKEW60,size_industry,0.1062114267632234,1.96133564031279,-0.05053901204101936,0.33156894763927963,1,0.7510959851515236
AlphaTailSKEW60|raw,1454,0.0023525441008935884,0.07955960891611956,0.4675360874800256,0.5337001375515819,1.12752800401901,AlphaTailSKEW60,raw,0.008432196955881667,0.07849526961965463,-0.20959789855319952,0.4069231233973157,-1,-0.527515813200516
AlphaTailSKEW60|size_industry,1454,0.005999369077138911,0.06396396141459074,1.4829968616838796,0.5605226960110041,3.5764522487097175,AlphaTailSKEW60,size_industry,0.055930835461473455,0.6422260913156674,-0.1509364368291439,0.42076634300726556,1,0.8227825935373334
AlphaMaxResid_IdioSKEW60|raw,1454,0.0008132297107014803,0.06877608421027384,0.18695874999759932,0.5041265474552957,0.4508769095341507,AlphaMaxResid_IdioSKEW60,raw,0.03096770213361314,0.3612391790871093,-0.21406753558706806,0.3362008947475634,1,0.029701916167905507
AlphaMaxResid_IdioSKEW60|size_industry,1454,0.0010223911395923788,0.03831243823500973,0.42193668813966173,0.5048143053645117,1.0175587394006873,AlphaMaxResid_IdioSKEW60,size_industry,0.026617149571675106,0.5072526077985705,-0.07815657578299579,0.3468354639607741,1,-0.1533187584881481
AlphaVolMaxResid_IdioSKEW60|raw,1454,0.006697102489893908,0.0527834724715981,2.006129627322749,0.5488308115543329,4.838059339313047,AlphaVolMaxResid_IdioSKEW60,raw,0.018421771984848852,0.3016043699728155,-0.13440996533666003,0.39604359022275687,1,0.7042095586931029
AlphaVolMaxResid_IdioSKEW60|size_industry,1454,0.006470398687694821,0.03436752895318542,2.9768211223960637,0.5852819807427786,7.179016269199241,AlphaVolMaxResid_IdioSKEW60,size_industry,0.02066974594279547,0.45523597563660667,-0.08494827859401363,0.4060912190828135,1,0.7147650301955545
AlphaTGDResid_IdioSKEW60|raw,1454,0.013155162972088363,0.0640966467976701,3.245121239635694,0.577028885832187,7.826059147321865,AlphaTGDResid_IdioSKEW60,raw,0.08284960117118431,0.9699403910293838,-0.12971360481579094,0.3174820496137736,1,0.7078919399620437
AlphaTGDResid_IdioSKEW60|size_industry,1454,0.01241028994934473,0.03955039468002989,4.961364226643331,0.6258596973865199,11.965016719522147,AlphaTGDResid_IdioSKEW60,size_industry,0.07952704012872061,1.4201874312132317,-0.04531137715598224,0.3301906575235822,1,0.780927165265947
AlphaVolMaxTGDResid_IdioSKEW60|raw,1454,0.004685596547108053,0.05349518783221268,1.3849056229090932,0.5302613480055021,3.3398916459472368,AlphaVolMaxTGDResid_IdioSKEW60,raw,0.027824532018670297,0.4504429331031871,-0.10247406847607989,0.4026603791208582,-1,-0.583329734799211
AlphaVolMaxTGDResid_IdioSKEW60|size_industry,1454,0.004846142828312771,0.03437911476588978,2.2288021824174002,0.5646492434662999,5.375065034314958,AlphaVolMaxTGDResid_IdioSKEW60,size_industry,0.021937976646251373,0.4879269407406012,-0.06708942084541326,0.4125322669424785,-1,-0.4130192711965406
AlphaIdioSKEW60_MAD|raw,1454,0.020298789857382784,0.06500980502084001,4.9369790967590745,0.6272352132049519,11.906208602753374,AlphaIdioSKEW60_MAD,raw,0.16009991291288048,1.8073268579966435,-0.12433559301600591,0.2980022907954167,1,0.9143840715929301
AlphaIdioSKEW60_MAD|size_industry,1454,0.0189925896128743,0.04156185686618178,7.225355935721936,0.6850068775790922,17.424946169271937,AlphaIdioSKEW60_MAD,size_industry,0.14897383179806944,2.5297097279821994,-0.05139576107120642,0.31258775536690886,1,0.931366214217913
