vs,mean_cs_spearman,median_cs_spearman,n_days
MAX_return_20d,0.5754190392461529,0.5762985918542521,1446
volatility_20d,0.22869099959639422,0.22935997199840524,1446
positive_tail_frequency,0.2665727055285118,0.26556198807411524,1416
negative_tail_frequency,-0.17556969883099652,-0.18107091540345122,1416
