n_days,mean_rank_ic,ic_std,icir_annualized,positive_ic_ratio,t_stat,factor,horizon,mode,periods_per_year,hl_ann_return,hl_sharpe,hl_max_drawdown,avg_turnover,direction,mono_corr
1454,0.0189925896128743,0.04156185686618178,7.225355935721936,0.6850068775790922,17.424946169271937,AlphaIdioSKEW60_MAD,1,size_industry,250.0,0.1489738317980694,2.529709727982198,-0.051395761071206414,0.31258775536690886,1,0.9313662142179128
1453,0.021016691291193816,0.041254493498154195,5.695712927773533,0.7068134893324157,19.418956672879478,AlphaIdioSKEW60_MAD,2,size_industry,125.0,0.1276261010401872,2.080487582230379,-0.0771853355840855,0.3126259142782812,1,0.9258114307430612
1452,0.022316820098533374,0.0406166881785852,5.015765000339642,0.7121212121212122,20.93683892418161,AlphaIdioSKEW60_MAD,3,size_industry,83.33333333333333,0.11495022480017408,1.9967726342183958,-0.10753635709382792,0.312680335322979,1,0.938490545664599
1450,0.024582373456118814,0.04062792290257032,4.2784276740325575,0.736551724137931,23.04003814007046,AlphaIdioSKEW60_MAD,5,size_industry,50.0,0.09665866082007571,1.7086986334904308,-0.21402900818641923,0.3127441793129101,1,0.9439122463568487
1445,0.026408315173152747,0.041287166166462566,3.1981263943714473,0.7494809688581315,24.314175262732913,AlphaIdioSKEW60_MAD,10,size_industry,25.0,0.07133078601721553,1.254254187717509,-0.5190335841882578,0.3127468802533392,1,0.9447812657381561
