n_days,mean_rank_ic,ic_std,icir_annualized,positive_ic_ratio,t_stat,factor,mode,hl_ann_return,hl_sharpe,hl_max_drawdown,avg_turnover,direction,mono_corr,kind,window,n_mad
1454,0.019672288102572356,0.04160522824761412,7.476132184748703,0.7008253094910591,18.029727813068803,AlphaIdioSKEW50_MAD,size_industry,0.1625160875300948,2.7918551879531837,-0.05026433989090456,0.3583127288716276,1,0.9299786396755774,Idio,50,5.0
1454,0.020743763125098562,0.042727040042440836,7.676349526338081,0.703576341127923,18.512579651841374,AlphaIdioSKEW40_MAD,size_industry,0.16570220078096376,2.769436561149368,-0.05522295254354334,0.42347621170153904,1,0.9310046855765383,Idio,40,5.0
1454,0.0189925896128743,0.04156185686618178,7.225355935721936,0.6850068775790922,17.424946169271937,AlphaIdioSKEW60_MAD,size_industry,0.1489738317980694,2.529709727982198,-0.051395761071206414,0.31258775536690886,1,0.9313662142179128,Idio,60,5.0
1454,0.018092525621312073,0.041689999791540366,6.86178818354286,0.6822558459422283,16.548152199955794,AlphaIdioSKEW75_MAD,size_industry,0.14097605130124322,2.3537951486181816,-0.04896930747512371,0.26803661591182576,1,0.9646667022220835,Idio,75,5.0
1454,0.02390765723607709,0.05539983188444952,6.823364603551334,0.7077028885832187,16.45548841716927,AlphaRawSKEW40_MAD,size_industry,0.1798344765650729,2.237915699469284,-0.09659352345040709,0.426489366835546,1,0.9108062976783424,Raw,40,5.0
1454,0.017434379819384598,0.041504299833613,6.641763629642105,0.6932599724896836,16.017532526441308,AlphaIdioSKEW90_MAD,size_industry,0.13377034523301737,2.191550440497656,-0.05567542709957737,0.2371386243535822,1,0.9635157424353599,Idio,90,5.0
1454,0.02280084150334589,0.056637201032867346,6.365303228634885,0.687757909215956,15.350809994244726,AlphaRawSKEW60_MAD,size_industry,0.1725095726604536,2.1120979619379563,-0.1001478612656732,0.3203998057997718,1,0.9497340885019881,Raw,60,5.0
1454,0.022935558119692927,0.05629351885463529,6.442002964203251,0.7001375515818432,15.535782025431258,AlphaRawSKEW50_MAD,size_industry,0.1713665836122187,2.110810943696684,-0.09077338398605689,0.3653351460525699,1,0.9347182053340892,Raw,50,5.0
1454,0.021559593037720957,0.05603277098683296,6.083709427963825,0.6815680880330124,14.671707558053996,AlphaRawSKEW90_MAD,size_industry,0.16043724350652455,2.0332758138170015,-0.08906864933754374,0.24369239537222104,1,0.9498609014850752,Raw,90,5.0
1454,0.022227850319925822,0.05707635742382079,6.1575963912977585,0.6740027510316369,14.849896199576763,AlphaRawSKEW75_MAD,size_industry,0.16364246797122112,1.9904441248182239,-0.1015562165871144,0.2749899463283837,1,0.9601163696231342,Raw,75,5.0
