Date,turnover
2020-01-03,2.0
2020-01-06,0.32276657060518743
2020-01-07,0.4092219020172912
2020-01-08,0.3130434782608696
2020-01-09,0.4540229885057472
2020-01-10,0.32758620689655166
2020-01-13,0.2922636103151862
2020-01-14,0.3438395415472779
2020-01-15,0.41954022988505735
2020-01-16,0.2868128972762903
2020-01-17,0.23495702005730662
2020-01-20,0.2922636103151862
2020-01-21,0.4412607449856733
2020-01-22,0.5491329479768787
2020-01-23,0.5375722543352601
2020-02-03,0.4277456647398844
2020-02-04,3.5813953488372094
2020-02-05,3.8158824360604773
2020-02-06,0.3560830860534124
2020-02-07,0.35608308605341243
2020-02-10,0.5816023738872402
2020-02-11,0.56973293768546
2020-02-12,0.4739884393063585
2020-02-13,0.20231213872832376
2020-02-14,0.31518624641833815
2020-02-17,0.25787965616045844
2020-02-18,0.2979942693409742
2020-02-19,0.3918128654970761
2020-02-20,0.3130434782608694
2020-02-21,0.32463768115942027
2020-02-24,0.26086956521739124
2020-02-25,0.417391304347826
2020-02-26,0.3333333333333334
2020-02-27,0.6023391812865497
2020-02-28,0.3884057971014492
2020-03-02,0.44637681159420295
2020-03-03,0.5
2020-03-04,0.3930635838150288
2020-03-05,0.32758620689655166
2020-03-06,0.3620689655172414
2020-03-09,0.41498559077809805
2020-03-10,0.34005763688760815
2020-03-11,0.2857142857142857
2020-03-12,0.31518624641833815
2020-03-13,0.25142857142857133
2020-03-16,0.34857142857142853
2020-03-17,0.39655172413793116
2020-03-18,0.3724928366762179
2020-03-19,0.32386363636363624
2020-03-20,0.3693181818181817
2020-03-23,0.25214899713467054
2020-03-24,0.39080459770114945
2020-03-25,0.3495702005730659
2020-03-26,0.24641833810888256
2020-03-27,0.27840909090909083
2020-03-30,0.21489732878795154
2020-03-31,0.26015908836286233
2020-04-01,0.2840909090909091
2020-04-02,0.29378531073446335
2020-04-03,0.1977401129943503
2020-04-07,0.2209631728045325
2020-04-08,0.2606232294617563
2020-04-09,0.33048433048433046
2020-04-10,0.24501424501424485
2020-04-13,0.24929178470254945
2020-04-14,0.24929178470254953
2020-04-15,0.23229461756373931
2020-04-16,0.20903954802259897
2020-04-17,0.2881355932203391
2020-04-20,0.21971830985915491
2020-04-21,0.1971830985915493
2020-04-22,0.2542372881355933
2020-04-23,0.24293785310734475
2020-04-24,0.2492917847025496
2020-04-27,0.29410540804404545
2020-04-28,0.33944719194635176
2020-04-29,0.4558404558404559
2020-04-30,1.4985754985754987
2020-05-06,0.5470085470085468
2020-05-07,0.3410404624277458
2020-05-08,0.4342857142857143
2020-05-11,0.39428571428571424
2020-05-12,0.3257142857142857
2020-05-13,0.25681725681725676
2020-05-14,0.251086691086691
2020-05-15,0.25071225071225056
2020-05-18,0.2905982905982905
2020-05-19,0.43999999999999995
2020-05-20,0.37356321839080453
2020-05-21,0.35574547969568227
2020-05-22,0.3553008595988539
2020-05-25,0.4628571428571428
2020-05-26,0.3314285714285714
2020-05-27,0.5558739255014326
2020-05-28,0.40114613180515757
2020-05-29,0.4514285714285714
2020-06-01,0.3028571428571428
2020-06-02,0.33810888252148996
2020-06-03,0.3275862068965517
2020-06-04,0.3448275862068966
2020-06-05,0.3839541547277937
2020-06-08,0.36615636512484645
2020-06-09,0.34090909090909083
2020-06-10,0.26704545454545453
2020-06-11,0.24929178470254956
2020-06-12,0.254957507082153
2020-06-15,0.3569405099150141
2020-06-16,0.2784090909090909
2020-06-17,0.22222222222222213
2020-06-18,0.31339031339031337
2020-06-19,0.25071225071225073
2020-06-22,0.33522727272727276
2020-06-23,0.2606232294617563
2020-06-24,0.2096317280453258
2020-06-29,0.23796033994334279
2020-06-30,0.20396600566572232
2020-07-01,0.27840909090909083
2020-07-02,0.27428571428571424
2020-07-03,0.2971428571428571
2020-07-06,0.30372492836676224
2020-07-07,0.29310344827586216
2020-07-08,0.3594202898550725
2020-07-09,0.3652173913043477
2020-07-10,0.3216374269005849
2020-07-13,0.35942028985507246
2020-07-14,0.46376811594202894
2020-07-15,0.353623188405797
2020-07-16,0.42898550724637674
2020-07-17,0.39067055393586
2020-07-20,0.36676217765042973
2020-07-21,0.3037249283667621
2020-07-22,0.2701149425287355
2020-07-23,0.2114285714285714
2020-07-24,0.21082621082621072
2020-07-27,0.2279202279202277
2020-07-28,0.3314285714285713
2020-07-29,0.49572649572649563
2020-07-30,0.31908831908831886
2020-07-31,0.2521489971346704
2020-08-03,0.2865329512893982
2020-08-04,0.3170028818443805
2020-08-05,0.3505747126436782
2020-08-06,0.22413793103448268
2020-08-07,0.20630372492836668
2020-08-10,0.2160385910385909
2020-08-11,0.28433372183372174
2020-08-12,0.3569405099150141
2020-08-13,0.23229461756373937
2020-08-14,0.25568181818181823
2020-08-17,0.28895184135977336
2020-08-18,0.2606232294617562
2020-08-19,0.29059829059829045
2020-08-20,0.3059490084985836
2020-08-21,0.3502824858757063
2020-08-24,0.2655367231638418
2020-08-25,0.35593220338983056
2020-08-26,0.3876404494382023
2020-08-27,0.297752808988764
2020-08-28,0.27450980392156854
2020-08-31,0.3249299719887955
2020-09-01,0.3202247191011236
2020-09-02,0.2808988764044944
2020-09-03,0.3585434173669467
2020-09-04,0.32960893854748596
2020-09-07,0.2681564245810055
2020-09-08,0.2521008403361344
2020-09-09,0.2977528089887641
2020-09-10,0.5
2020-09-11,1.2247191011235956
2020-09-14,0.3697478991596639
2020-09-15,0.30252100840336144
2020-09-16,0.2402234636871509
2020-09-17,0.21169916434540392
2020-09-18,0.25069637883008355
2020-09-21,0.21727019498607247
2020-09-22,0.23398328690807804
2020-09-23,0.1777777777777777
2020-09-24,0.2111111111111111
2020-09-25,0.21666666666666667
2020-09-28,0.2666666666666666
2020-09-29,0.2681564245810056
2020-09-30,0.31754874651810594
2020-10-09,0.23822714681440443
2020-10-12,0.35457063711911374
2020-10-13,0.35955056179775297
2020-10-14,0.3277777777777776
2020-10-15,0.35555555555555557
2020-10-16,0.4888888888888889
2020-10-19,0.2991689750692521
2020-10-20,0.32132963988919666
2020-10-21,0.2770083102493075
2020-10-22,0.28176795580110503
2020-10-23,0.22616927689755406
2020-10-26,0.28143311568725926
2020-10-27,0.281767955801105
2020-10-28,0.3204419889502762
2020-10-29,0.33701657458563544
2020-10-30,0.24346122648872842
2020-11-02,0.30386740331491713
2020-11-03,0.3922651933701659
2020-11-04,0.34903047091412753
2020-11-05,0.2928176795580111
2020-11-06,0.2928176795580112
2020-11-09,0.3461538461538461
2020-11-10,0.2692307692307691
2020-11-11,0.43450488905034346
2020-11-12,0.2859867405321951
2020-11-13,0.3415977961432507
2020-11-16,0.3415977961432507
2020-11-17,0.325068870523416
2020-11-18,0.2527472527472526
2020-11-19,0.2950819672131149
2020-11-20,0.34972677595628426
2020-11-23,0.301761252446184
2020-11-24,0.23076923076923078
2020-11-25,0.3013698630136988
2020-11-26,0.31780821917808233
2020-11-27,0.3114754098360657
2020-11-30,0.2942779291553134
2020-12-01,0.31607629427792916
2020-12-02,0.31646342371316694
2020-12-03,0.273972602739726
2020-12-04,0.2794520547945205
2020-12-07,0.29508196721311475
2020-12-08,0.2677595628415301
2020-12-09,0.3005464480874317
2020-12-10,0.38206697339229617
2020-12-11,0.3705722070844687
2020-12-14,1.2588555858310626
2020-12-15,0.29972752043596734
2020-12-16,0.38043478260869573
2020-12-17,0.26086956521739135
2020-12-18,0.2554347826086957
2020-12-21,0.29347826086956524
2020-12-22,0.24390243902439018
2020-12-23,0.24864864864864855
2020-12-24,0.23243243243243233
2020-12-25,0.4390243902439024
2020-12-28,0.2880434782608696
2020-12-29,0.3269754768392371
2020-12-30,0.5395095367847412
2020-12-31,0.31436314363143636
2021-01-04,0.1891891891891891
2021-01-05,0.308108108108108
2021-01-06,0.3152173913043479
2021-01-07,0.32884097035040416
2021-01-08,0.7311827956989247
2021-01-11,0.3870967741935484
2021-01-12,0.3602150537634407
2021-01-13,0.2864864864864864
2021-01-14,0.3324396782841824
2021-01-15,0.5361930294906165
2021-01-18,0.5405405405405403
2021-01-19,0.2972972972972972
2021-01-20,0.30678491725357204
2021-01-21,0.29569892473118276
2021-01-22,0.27956989247311825
2021-01-25,0.3743315508021393
2021-01-26,0.3796791443850267
2021-01-27,0.40641711229946537
2021-01-28,0.3155080213903745
2021-01-29,0.2826666666666666
2021-02-01,0.33066666666666666
2021-02-02,0.3946666666666667
2021-02-03,0.3262032085561498
2021-02-04,0.2868530955471527
2021-02-05,0.27622890682318413
2021-02-08,0.29333333333333345
2021-02-09,0.2666666666666667
2021-02-10,0.22340425531914893
2021-02-18,0.2063492063492064
2021-02-19,0.5079365079365081
2021-02-22,0.4611260053619303
2021-02-23,0.288770053475936
2021-02-24,0.26455026455026454
2021-02-25,0.30687830687830686
2021-02-26,0.2578947368421052
2021-03-01,0.2368421052631579
2021-03-02,0.2789473684210526
2021-03-03,0.2631578947368421
