bucket,signed_mean_ret
1,-0.0013169651037184549
2,0.00011583773168428111
3,0.0006255877904427341
4,0.0007745530898409659
5,0.0008978925030666702
6,0.000988195334780804
7,0.0010913797690441107
8,0.0011635861429617614
9,0.0012272947488962782
10,0.0011804456055749986
11,0.0013560099596241564
12,0.0015063797349320644
13,0.0015448054046444907
14,0.0017628151288838056
15,0.0017337295686407192
16,0.0017017815780412677
17,0.0019073876187863333
18,0.0017468645128752515
19,0.0017797201616126807
20,0.0018181131223564163
