bucket,raw_mean_ret
1,0.0018011243676651473
2,0.0018218089948288003
3,0.0017210344948662272
4,0.0016536086313521977
5,0.001438195122475121
6,0.0012025607301820295
7,0.001126618096012835
8,0.0009426883246743357
9,0.0006971633178439291
10,-0.0005963918078048655
