period,dim,lambda,rank_ic,icir,ic_positive_ratio,hl_sharpe,hl_annu_ret,monotonicity_score,universe_stability,sign_consistency,rank_ic_delta,icir_delta,hl_sharpe_delta,monotonicity_delta
discovery,D3,0.0,0.02630929763605573,5.714980246905662,0.6613545816733067,3.1789981702293924,0.33666715035804207,0.7777777777777778,,,-0.007888803520869313,-1.2988063240909362,-0.7578872347363697,-0.11111111111111105
discovery,D3,0.2,0.013283083287641006,3.7790511442893457,0.5936254980079682,2.724096858061694,0.2563532160958744,0.5555555555555556,,,-0.020915017869284038,-3.2347354267072523,-1.212788546904068,-0.33333333333333326
discovery,D3,0.4,-0.007739576642516261,-1.4768342068109532,0.48804780876494025,0.7031629789128652,0.11019184899266932,0.5555555555555556,,,-0.041937677799441304,-8.490620777807552,-3.2337224260528967,-0.33333333333333326
discovery,D3,0.6,-0.030224844273270875,-3.476050852980234,0.43227091633466136,0.1246689197841131,0.026963355171487926,0.6666666666666666,,,-0.06442294543019592,-10.489837423976832,-3.812216485181649,-0.2222222222222222
discovery,D3,0.8,-0.04353951370242464,-4.212080196488994,0.4203187250996016,0.5608750573957533,0.1393464133771315,0.4444444444444444,,,-0.07773761485934969,-11.225866767485591,-3.3760103475700087,-0.4444444444444444
discovery,D3,1.0,-0.04952908613097778,-4.68634274191502,0.40836653386454186,1.0465956451060068,0.2686961736263014,0.4444444444444444,,,-0.08372718728790282,-11.700129312911617,-2.8902897598597552,-0.4444444444444444
confirmation,D3,0.0,0.03153049813919108,4.904967824181974,0.6290832455216017,2.9242487852034,0.36167370907818736,0.5555555555555556,,,-0.00678423805883778,-0.7799913854193736,-0.8370264104293419,-0.4444444444444444
confirmation,D3,0.2,0.01689965053453627,3.472688735697759,0.5911485774499473,2.5566554069389804,0.25088835476436866,0.6666666666666666,,,-0.021415085663492588,-2.212270473903589,-1.2046197886937615,-0.33333333333333337
confirmation,D3,0.4,-0.008372806684532743,-1.7197614256124187,0.44783983140147526,0.4903091513908119,0.06422345286027659,0.5555555555555556,,,-0.046687542882561606,-7.404720635213767,-3.27096604424193,-0.4444444444444444
confirmation,D3,0.6,-0.03608490621179552,-4.175799112344408,0.38777660695468913,0.5301393981832071,0.10125037209645911,0.5555555555555556,,,-0.07439964240982438,-9.860758321945756,-3.231135797449535,-0.4444444444444444
confirmation,D3,0.8,-0.05251857535820294,-4.775829728571699,0.38250790305584825,1.0870206095274495,0.250397675481007,0.5555555555555556,,,-0.0908333115562318,-10.460788938173046,-2.6742545861052927,-0.4444444444444444
confirmation,D3,1.0,-0.05903786791857794,-5.143924713048467,0.37302423603793466,1.4458922007994668,0.3497573919188288,0.4444444444444444,,,-0.09735260411660679,-10.828883922649815,-2.315382994833275,-0.5555555555555556
