leg,rank_ic,icir,ic_pos_ratio,n_days
high,-0.05072190829364293,-6.435901528821785,0.3171171171171171,3885
low,-0.022700850824705635,-2.6807733497559854,0.41544401544401544,3885
spread,-0.03783097149626885,-7.660069086011271,0.29009009009009007,3885
